ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
013495.OF,20260122,2025-12-31,605196.SH,7302348.0,210200.0,10.6,0.04
013495.OF,20260122,2025-12-31,600262.SH,6637650.0,255000.0,9.63,0.15
013495.OF,20260122,2025-12-31,601156.SH,5130867.0,278700.0,7.45,0.03
013495.OF,20260122,2025-12-31,600578.SH,4241670.0,831700.0,6.16,0.01
013495.OF,20260122,2025-12-31,002588.SZ,4043896.0,405200.0,5.87,0.05
013495.OF,20260122,2025-12-31,000600.SZ,3793291.0,444700.0,5.51,0.04
013495.OF,20260122,2025-12-31,601991.SH,3742327.0,1072300.0,5.43,0.01
013495.OF,20260122,2025-12-31,000899.SZ,3699630.0,373700.0,5.37,0.04
013495.OF,20260122,2025-12-31,600011.SH,3562150.0,477500.0,5.17,0.0
013495.OF,20260122,2025-12-31,000791.SZ,3555885.0,551300.0,5.16,0.03
013495.OF,20251027,2025-09-30,600262.SH,7576371.0,339900.0,9.58,0.2
013495.OF,20251027,2025-09-30,002613.SZ,7518844.0,1861100.0,9.5,0.24
013495.OF,20251027,2025-09-30,002920.SZ,7198548.0,47600.0,9.1,0.01
013495.OF,20251027,2025-09-30,000682.SZ,6407178.0,532600.0,8.1,0.04
013495.OF,20251027,2025-09-30,002011.SZ,5744651.0,403700.0,7.26,0.04
013495.OF,20251027,2025-09-30,605196.SH,5116268.0,210200.0,6.47,0.04
013495.OF,20251027,2025-09-30,000957.SZ,5104855.0,464500.0,6.45,0.08
013495.OF,20251027,2025-09-30,601156.SH,5079375.0,322500.0,6.42,0.03
013495.OF,20251027,2025-09-30,002140.SZ,4881920.0,381400.0,6.17,0.07
013495.OF,20251027,2025-09-30,301376.SZ,4440263.85,229471.0,5.61,0.12
013495.OF,20250718,2025-06-30,600059.SH,8541439.0,782900.0,10.26,0.09
013495.OF,20250718,2025-06-30,600790.SH,8395857.0,2250900.0,10.09,0.15
013495.OF,20250718,2025-06-30,002098.SZ,8193020.0,918500.0,9.84,0.26
013495.OF,20250718,2025-06-30,600300.SH,5977200.0,1758000.0,7.18,0.11
013495.OF,20250718,2025-06-30,000895.SZ,5292088.0,216800.0,6.36,0.01
013495.OF,20250718,2025-06-30,300592.SZ,5211000.0,463200.0,6.26,0.13
013495.OF,20250718,2025-06-30,000915.SZ,4803994.3,135898.0,5.77,0.06
013495.OF,20250718,2025-06-30,002991.SZ,4703991.0,75300.0,5.65,0.15
013495.OF,20250718,2025-06-30,002404.SZ,4271494.0,660200.0,5.13,0.14
013495.OF,20250718,2025-06-30,300640.SZ,4174560.0,624000.0,5.02,0.28
013495.OF,20250829,2025-06-30,000417.SZ,4131800.0,730000.0,4.96,0.09
013495.OF,20250829,2025-06-30,600814.SH,4066380.0,522000.0,4.89,0.07
013495.OF,20250829,2025-06-30,002697.SZ,3955790.0,739400.0,4.75,0.06
013495.OF,20250829,2025-06-30,603558.SH,3886326.0,426600.0,4.67,0.12
013495.OF,20250829,2025-06-30,002851.SZ,2797812.0,55800.0,3.36,0.01
013495.OF,20250829,2025-06-30,002615.SZ,2514590.0,299000.0,3.02,0.1
013495.OF,20250829,2025-06-30,002837.SZ,2313517.7,77870.0,2.78,0.01
013495.OF,20250421,2025-03-31,000895.SZ,5609760.0,208000.0,7.66,0.01
013495.OF,20250421,2025-03-31,601579.SH,5196528.0,496800.0,7.09,0.1
013495.OF,20250421,2025-03-31,300783.SZ,5184592.0,190400.0,7.08,0.07
013495.OF,20250421,2025-03-31,600300.SH,5157620.0,1553500.0,7.04,0.1
013495.OF,20250421,2025-03-31,600059.SH,5128101.0,617100.0,7.0,0.07
013495.OF,20250421,2025-03-31,603345.SH,4229400.0,53000.0,5.77,0.02
013495.OF,20250421,2025-03-31,600882.SH,4120644.0,174900.0,5.63,0.03
013495.OF,20250421,2025-03-31,002367.SZ,3734667.0,512300.0,5.1,0.1
013495.OF,20250421,2025-03-31,003000.SZ,3709116.0,313800.0,5.06,0.1
013495.OF,20250421,2025-03-31,300138.SZ,3439971.0,368700.0,4.7,0.09
013495.OF,20250121,2024-12-31,000895.SZ,5498328.0,211800.0,7.85,0.01
013495.OF,20250121,2024-12-31,688789.SH,5090084.78,76681.0,7.27,0.04
013495.OF,20250121,2024-12-31,601168.SH,4470674.0,278200.0,6.38,0.01
013495.OF,20250121,2024-12-31,9988.HK,4364685.81,57200.0,6.23,
013495.OF,20250121,2024-12-31,603993.SH,4354420.0,654800.0,6.22,0.0
013495.OF,20250121,2024-12-31,601958.SH,3835878.0,381300.0,5.48,0.01
013495.OF,20250121,2024-12-31,600717.SH,3768893.0,773900.0,5.38,0.03
013495.OF,20250121,2024-12-31,0590.HK,3704956.39,279000.0,5.29,
013495.OF,20250121,2024-12-31,600583.SH,3472903.0,634900.0,4.96,0.01
013495.OF,20250121,2024-12-31,000630.SZ,3229354.0,999800.0,4.61,0.01
013495.OF,20250328,2024-12-31,600233.SH,3192750.0,225000.0,4.56,0.01
013495.OF,20250328,2024-12-31,600547.SH,3186304.0,140800.0,4.55,0.0
013495.OF,20250328,2024-12-31,002597.SZ,2910825.0,127500.0,4.16,0.02
013495.OF,20250328,2024-12-31,601872.SH,2436441.0,380100.0,3.48,0.0
013495.OF,20250328,2024-12-31,601975.SH,2422620.0,774000.0,3.46,0.02
013495.OF,20250328,2024-12-31,600428.SH,2412650.0,330500.0,3.45,0.02
013495.OF,20250328,2024-12-31,002773.SZ,2389240.0,121900.0,3.41,0.02
013495.OF,20250328,2024-12-31,002011.SZ,2387929.0,220900.0,3.41,0.02
013495.OF,20250328,2024-12-31,600420.SH,2384418.0,199700.0,3.4,0.01
