ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_1y,percentile_1y,quality_score
015449.OF,太平安元C,债券型,债券型-主动,-0.43,-0.61,10.19,8.14,2.17,1.01,455,2,99.97352396081546,80.0
012818.OF,招商享诚增强A,债券型,债券型-主动,2.13,2.46,6.29,3.54,1.89,1.21,455,18,99.54990733386285,79.9
015583.OF,招商安悦1年持有A,债券型,债券型-主动,1.51,1.72,6.26,3.58,2.04,1.19,455,20,99.49695525549377,79.9
012819.OF,招商享诚增强C,债券型,债券型-主动,2.1,2.41,6.2,3.54,1.91,1.19,455,21,99.47047921630924,79.9
015584.OF,招商安悦1年持有C,债券型,债券型-主动,1.48,1.67,6.18,3.58,2.07,1.17,455,22,99.44400317712471,79.9
018840.OF,汇添富稳元回报A,债券型,债券型-主动,0.45,0.92,5.9,2.97,2.58,1.31,455,24,99.39105109875563,84.9
018841.OF,汇添富稳元回报C,债券型,债券型-主动,0.43,0.88,5.82,2.97,2.6,1.28,455,25,99.3645750595711,84.9
012902.OF,平安添悦A,债券型,债券型-主动,3.55,4.06,5.31,2.55,1.23,1.3,455,27,99.311622981202,84.9
023364.OF,平安添悦E,债券型,债券型-主动,3.53,4.02,5.24,2.66,1.5,1.22,455,28,99.28514694201748,84.9
012903.OF,平安添悦C,债券型,债券型-主动,3.52,4.0,5.22,2.55,1.26,1.26,455,30,99.23219486364839,84.9
022399.OF,东海增益A,债券型,债券型-主动,0.55,0.83,3.75,2.52,1.89,0.69,454,64,98.33200953137411,72.9
023256.OF,东海增益E,债券型,债券型-主动,0.54,0.82,3.71,2.52,1.91,0.68,454,66,98.27905745300502,72.6
022400.OF,东海增益C,债券型,债券型-主动,0.54,0.81,3.7,2.52,1.91,0.67,454,68,98.22610537463595,72.2
015434.OF,金元顺安鼎泰A,债券型,债券型-主动,1.5,2.37,3.42,2.01,1.59,0.71,455,73,98.09372517871327,72.9
015435.OF,金元顺安鼎泰C,债券型,债券型-主动,1.48,2.34,3.36,2.01,1.63,0.68,455,79,97.93486894360603,71.8
022111.OF,华泰保兴恒利中短债D,债券型,债券型-主动,0.95,2.09,2.85,0.95,0.64,0.9,455,114,97.00820757214721,92.3
015315.OF,富国汇享三个月定开A,债券型,债券型-主动,0.25,0.33,2.65,1.3,0.87,0.5,455,136,96.42573471008737,74.8
015316.OF,富国汇享三个月定开C,债券型,债券型-主动,0.23,0.3,2.61,1.31,0.92,0.47,455,140,96.31983055334922,73.8
