ts_code,name,invest_type
026413.OF,中邮睿信增强C,债券型
026226.OF,东海增裕C,债券型
026220.OF,东海增裕A,债券型
026098.OF,前海开源安和C,债券型
026097.OF,前海开源安和A,债券型
010579.OF,中金恒嘉稳健3个月持有A,债券型
026007.OF,中金恒嘉稳健3个月持有C,债券型
026046.OF,华商安元C,债券型
026052.OF,信澳鑫丰C,债券型
026051.OF,信澳鑫丰A,债券型
026045.OF,华商安元A,债券型
017286.OF,中航祥泰6个月封闭A,债券型
024999.OF,中航祥泰6个月封闭C,债券型
026135.OF,泰康裕泽A,债券型
026136.OF,泰康裕泽C,债券型
026435.OF,金信民旺E,债券型
026023.OF,汇泉安悦90天持有A,债券型
026024.OF,汇泉安悦90天持有C,债券型
026042.OF,天弘普利90天持有C,债券型
026041.OF,天弘普利90天持有A,债券型
026316.OF,广发弘利3个月滚动持有A,债券型
026056.OF,东方红汇裕C,债券型
026055.OF,东方红汇裕A,债券型
026162.OF,招商安琪C,债券型
026063.OF,大成元瑞诚利C,债券型
026062.OF,大成元瑞诚利A,债券型
026161.OF,招商安琪A,债券型
026317.OF,广发弘利3个月滚动持有C,债券型
026049.OF,华夏卓安A,债券型
026064.OF,苏新苏匠A,债券型
026050.OF,华夏卓安C,债券型
025977.OF,大摩添益A,债券型
025978.OF,大摩添益C,债券型
026318.OF,广发昭利中短债A,债券型
026319.OF,广发昭利中短债B,债券型
026320.OF,广发昭利中短债C,债券型
026133.OF,鹏华睿和90天持有A,债券型
026315.OF,广发多添利六个月持有C,债券型
026134.OF,鹏华睿和90天持有C,债券型
026314.OF,广发多添利六个月持有A,债券型
025285.OF,京管泰富京信A,债券型
026322.OF,广发乾利一年持有C,债券型
026321.OF,广发乾利一年持有A,债券型
026065.OF,苏新苏匠C,债券型
025286.OF,京管泰富京信C,债券型
024946.OF,国联稳健鑫益C,债券型
024945.OF,国联稳健鑫益A,债券型
026032.OF,中欧稳达三个月滚动持有C,债券型
026031.OF,中欧稳达三个月滚动持有A,债券型
026035.OF,中欧稳达中短债A,债券型
026036.OF,中欧稳达中短债C,债券型
026342.OF,兴银长乐半年定期C,债券型
025282.OF,富国稳健双景C,债券型
025281.OF,富国稳健双景A,债券型
024129.OF,宏利嘉利C,债券型
024128.OF,宏利嘉利A,债券型
025740.OF,国泰利享鑫益90天持有C,债券型
025739.OF,国泰利享鑫益90天持有A,债券型
025135.OF,信澳丰享利率债C,债券型
025134.OF,信澳丰享利率债A,债券型
025270.OF,浦银安盛稳健双利A,债券型
026039.OF,长信稳健添益A,债券型
026021.OF,华夏增利一年持有A,债券型
026022.OF,华夏增利一年持有C,债券型
026040.OF,长信稳健添益C,债券型
025271.OF,浦银安盛稳健双利C,债券型
025743.OF,安信瑞安30天持有中短债C,债券型
025742.OF,安信瑞安30天持有中短债B,债券型
025741.OF,安信瑞安30天持有中短债A,债券型
026033.OF,平安添元6个月持有A,债券型
026034.OF,平安添元6个月持有C,债券型
025563.OF,国富恒安30天持有A,债券型
025991.OF,广发集辉A,债券型
025992.OF,广发集辉C,债券型
025321.OF,兴银裕安增利A,债券型
025564.OF,国富恒安30天持有C,债券型
025322.OF,兴银裕安增利C,债券型
026010.OF,东财禧悦90天滚动持有中短债A,债券型
025744.OF,安信瑞鸿中短债A,债券型
026011.OF,东财禧悦90天滚动持有中短债C,债券型
025887.OF,国联金如意3个月滚动持有A,债券型
025888.OF,国联金如意3个月滚动持有C,债券型
026249.OF,长城稳固收益D,债券型
026008.OF,东财鑫享30天滚动持有中短债A,债券型
025746.OF,安信瑞鸿中短债C,债券型
025745.OF,安信瑞鸿中短债B,债券型
026009.OF,东财鑫享30天滚动持有中短债C,债券型
025889.OF,国联金如意双利一年持有A,债券型
025890.OF,国联金如意双利一年持有B,债券型
025891.OF,国联金如意双利一年持有C,债券型
025962.OF,永赢优选增强A,债券型
025963.OF,永赢优选增强C,债券型
024568.OF,财通资管通达稳鑫3个月持有型A,债券型
024151.OF,长城丰泽C,债券型
024569.OF,财通资管通达稳鑫3个月持有型C,债券型
024150.OF,长城丰泽A,债券型
025731.OF,鹏华睿享180天持有C,债券型
026225.OF,招商添兴6个月定开C,债券型
025670.OF,信澳水星聚利中短债C,债券型
025730.OF,鹏华睿享180天持有A,债券型
025671.OF,信澳水星聚利中短债E,债券型
025669.OF,信澳水星聚利中短债A,债券型
025582.OF,光大阳光北斗星9个月持有A,债券型
025272.OF,中金恒宁A,债券型
025273.OF,中金恒宁C,债券型
026025.OF,华夏六个月滚动持有A,债券型
025583.OF,光大阳光北斗星9个月持有C,债券型
025531.OF,光大阳光稳债中短债A,债券型
025532.OF,光大阳光稳债中短债C,债券型
026026.OF,华夏六个月滚动持有C,债券型
025101.OF,信澳鑫诚3个月持有A,债券型
025102.OF,信澳鑫诚3个月持有C,债券型
023798.OF,西部利得双季享6个月持有A,债券型
023799.OF,西部利得双季享6个月持有C,债券型
024995.OF,汇添富稳颐优选A,债券型
024996.OF,汇添富稳颐优选C,债券型
025260.OF,华安沣泰A,债券型
025261.OF,华安沣泰C,债券型
025640.OF,国泰民安增利D,债券型
026061.OF,国泰民安增利F,债券型
025975.OF,前海联合弘利A,债券型
025976.OF,前海联合弘利C,债券型
025093.OF,天弘匠心回报C,债券型
025092.OF,天弘匠心回报A,债券型
026080.OF,鹏华创兴增利E,债券型
023699.OF,长城元利C,债券型
023698.OF,长城元利A,债券型
025593.OF,国泰海通安泰三个月持有C,债券型
025592.OF,国泰海通安泰三个月持有A,债券型
025590.OF,国泰海通安润90天持有中短债A,债券型
025591.OF,国泰海通安润90天持有中短债C,债券型
026027.OF,财信30天持有A,债券型
026028.OF,财信30天持有C,债券型
025897.OF,国联汇富C,债券型
025896.OF,国联汇富A,债券型
025714.OF,富国安元120天持有C,债券型
025713.OF,富国安元120天持有A,债券型
024294.OF,创金合信恒鑫60天滚动持有A,债券型
024295.OF,创金合信恒鑫60天滚动持有C,债券型
026017.OF,银华盛泓E,债券型
025146.OF,华富裕诚一年持有A,债券型
025142.OF,华富富泽六个月持有A,债券型
025147.OF,华富裕诚一年持有C,债券型
025145.OF,华富安颐九个月持有C,债券型
025144.OF,华富安颐九个月持有A,债券型
025148.OF,华富裕诚一年持有D,债券型
025143.OF,华富富泽六个月持有C,债券型
025594.OF,国泰海通安裕中短债A,债券型
023664.OF,中信保诚稳和利率债A,债券型
025595.OF,国泰海通安裕中短债C,债券型
025600.OF,国泰海通海升六个月持有A,债券型
025601.OF,国泰海通海升六个月持有C,债券型
023665.OF,中信保诚稳和利率债C,债券型
023464.OF,工银稳健丰裕30天持有C,债券型
024586.OF,中信建投稳鑫30天持有A,债券型
023576.OF,海富通稳鑫三个月持有C,债券型
025283.OF,大成元享臻利A,债券型
025555.OF,国富恒泽90天持有C,债券型
025156.OF,华泰保兴兴元180天封闭A,债券型
025284.OF,大成元享臻利C,债券型
025157.OF,华泰保兴兴元180天封闭C,债券型
023463.OF,工银稳健丰裕30天持有A,债券型
025554.OF,国富恒泽90天持有A,债券型
025001.OF,国泰海通稳健泰裕C,债券型
025000.OF,国泰海通稳健泰裕A,债券型
023575.OF,海富通稳鑫三个月持有A,债券型
025085.OF,兴华安聚纯债D,债券型
023678.OF,百嘉百达利率债C,债券型
024587.OF,中信建投稳鑫30天持有C,债券型
023677.OF,百嘉百达利率债A,债券型
025290.OF,建信丰泽C,债券型
025289.OF,建信丰泽A,债券型
025630.OF,鹏华安泰中短债C,债券型
025629.OF,鹏华安泰中短债A,债券型
025040.OF,东方红汇明C,债券型
025039.OF,东方红汇明A,债券型
024553.OF,财通安盛90天滚动持有C,债券型
024552.OF,财通安盛90天滚动持有A,债券型
024554.OF,财通安盛90天滚动持有E,债券型
025631.OF,鹏华睿丰A,债券型
024494.OF,平安元亨120天持有C,债券型
024493.OF,平安元亨120天持有A,债券型
025939.OF,圆信永丰兴益三个月定开C,债券型
025915.OF,鹏华产业债D,债券型
025632.OF,鹏华睿丰C,债券型
025627.OF,国泰海通鑫悦A,债券型
025623.OF,国泰海通鑫选三个月持有A,债券型
025628.OF,国泰海通鑫悦C,债券型
025625.OF,国泰海通鑫逸A,债券型
025626.OF,国泰海通鑫逸C,债券型
025624.OF,国泰海通鑫选三个月持有C,债券型
025621.OF,国泰海通鑫诚六个月持有A,债券型
025622.OF,国泰海通鑫诚六个月持有C,债券型
025596.OF,国泰海通安悦A,债券型
025597.OF,国泰海通安悦C,债券型
024959.OF,富国稳健添荣C,债券型
024958.OF,富国稳健添荣A,债券型
025251.OF,天弘稳利回报A,债券型
025252.OF,天弘稳利回报C,债券型
024290.OF,中航月月鑫30天持有A,债券型
024291.OF,中航月月鑫30天持有C,债券型
024092.OF,国金安和A,债券型
025266.OF,国泰稳健添利A,债券型
025267.OF,国泰稳健添利C,债券型
024093.OF,国金安和C,债券型
024303.OF,财通资管鸿曜90天持有A,债券型
024304.OF,财通资管鸿曜90天持有C,债券型
025305.OF,中欧优利A,债券型
025306.OF,中欧优利C,债券型
025154.OF,华富安和A,债券型
025152.OF,华富安康三个月持有A,债券型
025155.OF,华富安和C,债券型
025153.OF,华富安康三个月持有C,债券型
025819.OF,博时裕发纯债C,债券型
025240.OF,浙商惠睿纯债C,债券型
023695.OF,国寿安保尊悦纯债C,债券型
023694.OF,国寿安保尊悦纯债A,债券型
025275.OF,博时双月薪C,债券型
024106.OF,万家裕利A,债券型
024107.OF,万家裕利C,债券型
025644.OF,汇添富多元收益D,债券型
024287.OF,泰康悦享180天持有C,债券型
024286.OF,泰康悦享180天持有A,债券型
024082.OF,国联稳健添益C,债券型
024081.OF,国联稳健添益A,债券型
025643.OF,恒生前海恒源天利E,债券型
025641.OF,恒生前海恒祥纯债E,债券型
025642.OF,恒生前海恒裕E,债券型
025562.OF,大摩灵动优选E,债券型
025451.OF,南方兴利半年C,债券型
025204.OF,信澳丰睿6个月持有A,债券型
025205.OF,信澳丰睿6个月持有C,债券型
024941.OF,银华钰盈A,债券型
024942.OF,银华钰盈C,债券型
025291.OF,国投瑞银和悦180天持有A,债券型
024126.OF,太平嘉裕A,债券型
024127.OF,太平嘉裕C,债券型
024955.OF,长城兴达C,债券型
024954.OF,长城兴达A,债券型
025292.OF,国投瑞银和悦180天持有C,债券型
023802.OF,华宝安睿A,债券型
024105.OF,鑫元诚鑫添益C,债券型
025183.OF,建信宁扬60天持有E,债券型
025210.OF,信澳信利6个月持有A,债券型
025207.OF,信澳月月盈30天持有C,债券型
025206.OF,信澳月月盈30天持有A,债券型
025211.OF,信澳信利6个月持有C,债券型
025212.OF,信澳添利3个月持有A,债券型
025213.OF,信澳添利3个月持有C,债券型
024103.OF,浙商汇金锦利增强30天持有C,债券型
024102.OF,浙商汇金锦利增强30天持有A,债券型
024104.OF,鑫元诚鑫添益A,债券型
023803.OF,华宝安睿C,债券型
025303.OF,东方红汇诚A,债券型
025304.OF,东方红汇诚C,债券型
025537.OF,海富通瑞弘6个月定开C,债券型
024123.OF,华富安顺一年持有A,债券型
024124.OF,华富安顺一年持有C,债券型
024125.OF,华富安顺一年持有D,债券型
024425.OF,南方稳航120天滚动持有A,债券型
024426.OF,南方稳航120天滚动持有C,债券型
023453.OF,汇添富稳恒6个月持有A,债券型
023454.OF,汇添富稳恒6个月持有C,债券型
