ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,veto_reason
025476.OF,银华瑞和C,灵活配置型,混合型-平衡,8.54,15.7,34.97,19.86,7.85,1.66,204,1.0,100.0,1.0,100.0,96.6,
024500.OF,兴华景和C,混合型,混合型-偏股,3.57,5.69,19.09,11.75,7.93,1.45,327,219.0,95.82215408202376,164.0,96.8809797168006,94.0,
024499.OF,兴华景和A,混合型,混合型-偏股,3.59,5.74,19.19,11.75,7.91,1.46,327,217.0,95.86048294365658,161.0,96.93838499808648,94.1,
024168.OF,信澳蓝筹精选C,股票型,主动股票型,1.28,1.89,16.94,14.57,7.7,1.03,334,107.0,81.66089965397923,45.0,92.38754325259517,89.2,
022573.OF,汇添富弘达回报C,混合型,混合型-偏股,4.62,6.35,23.1,12.92,8.16,1.63,357,188.0,96.4162514373323,96.0,98.18216609261384,96.0,
022572.OF,汇添富弘达回报A,混合型,混合型-偏股,4.64,6.4,23.19,12.92,8.15,1.64,357,185.0,96.47374472978152,95.0,98.20130118637582,96.1,
023915.OF,永赢价值发现慧选A,混合型,混合型-偏股,3.89,7.91,26.28,14.78,10.03,1.64,366,126.0,97.6044461479494,51.0,99.04324531190204,96.2,
023925.OF,永赢价值发现慧选C,混合型,混合型-偏股,3.85,7.84,26.15,14.78,10.07,1.63,366,128.0,97.5661172863166,53.0,99.00497512437812,96.1,
022327.OF,宏利高端装备A,股票型,主动股票型,1.86,4.59,22.9,13.81,8.34,1.51,455,40.0,93.25259515570934,20.0,96.7128027681661,94.6,
022328.OF,宏利高端装备C,股票型,主动股票型,1.83,4.55,22.81,13.81,8.35,1.51,455,41.0,93.07958477508652,21.0,96.53979238754326,94.6,
022148.OF,诺安价值增长C,混合型,混合型-偏股,6.89,6.51,26.98,16.33,10.54,1.53,455,176.0,96.64622460712916,43.0,99.19632606199772,94.8,
022149.OF,诺安价值增长D,混合型,混合型-偏股,6.92,6.56,27.09,16.33,10.54,1.54,455,172.0,96.72288233039478,40.0,99.25373134328358,94.9,
022755.OF,易方达科鑫量化选股C,股票型,主动股票型,2.04,4.92,20.25,15.68,13.65,1.16,455,36.0,93.9446366782007,26.0,95.67474048442908,85.6,
022754.OF,易方达科鑫量化选股A,股票型,主动股票型,2.07,4.97,20.34,15.69,13.62,1.17,455,35.0,94.11764705882352,25.0,95.8477508650519,85.8,
022270.OF,中信保诚周期优选C,混合型,混合型-偏股,4.58,5.48,25.34,18.48,11.47,1.26,455,231.0,95.59218091222692,63.0,98.81362418675852,91.3,
022269.OF,中信保诚周期优选A,混合型,混合型-偏股,4.62,5.55,25.48,18.49,11.45,1.27,455,227.0,95.66883863549252,60.0,98.8710294680444,91.4,
021145.OF,银华甄选价值成长A,混合型,混合型-偏股,7.3,15.91,27.91,18.46,13.1,1.4,455,26.0,99.52088922958988,32.0,99.40681209337926,91.6,
021146.OF,银华甄选价值成长C,混合型,混合型-偏股,7.28,15.85,27.81,18.45,13.13,1.4,455,27.0,99.50172479877348,34.0,99.36854190585534,91.6,
