ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,vol_90_threshold,high_vol,pass_level1,pass_level2
022327.OF,宏利高端装备A,股票型,主动股票型,1.86,4.59,22.9,13.81,8.34,1.51,455,40.0,93.25259515570934,20.0,96.7128027681661,94.6,24.831000000000017,False,True,True
022328.OF,宏利高端装备C,股票型,主动股票型,1.83,4.55,22.81,13.81,8.35,1.51,455,41.0,93.07958477508652,21.0,96.53979238754326,94.6,24.831000000000017,False,True,True
015157.OF,申万菱信行业轮动C,股票型,主动股票型,4.17,5.94,28.13,18.81,11.37,1.39,455,20.0,96.7128027681661,5.0,99.30795847750863,92.8,24.831000000000017,False,True,True
024168.OF,信澳蓝筹精选C,股票型,主动股票型,1.28,1.89,16.94,14.57,7.7,1.03,334,107.0,81.66089965397923,45.0,92.38754325259517,89.2,24.831000000000017,False,True,True
011685.OF,创金合信先进装备A,股票型,主动股票型,4.18,3.01,20.21,14.34,11.9,1.27,455,83.0,85.81314878892734,27.0,95.50173010380622,89.1,24.831000000000017,False,True,True
011686.OF,创金合信先进装备C,股票型,主动股票型,4.15,2.95,20.09,14.33,11.92,1.26,455,85.0,85.46712802768167,29.0,95.15570934256056,88.9,24.831000000000017,False,True,True
022754.OF,易方达科鑫量化选股A,股票型,主动股票型,2.07,4.97,20.34,15.69,13.62,1.17,455,35.0,94.11764705882352,25.0,95.8477508650519,85.8,24.831000000000017,False,True,True
022755.OF,易方达科鑫量化选股C,股票型,主动股票型,2.04,4.92,20.25,15.68,13.65,1.16,455,36.0,93.9446366782007,26.0,95.67474048442908,85.6,24.831000000000017,False,True,True
019879.OF,万家周期驱动A,股票型,主动股票型,4.06,7.36,25.64,20.19,15.93,1.17,455,12.0,98.0968858131488,8.0,98.78892733564014,85.0,24.831000000000017,False,True,True
019880.OF,万家周期驱动C,股票型,主动股票型,4.02,7.3,25.52,20.19,15.94,1.16,455,13.0,97.92387543252596,9.0,98.6159169550173,84.8,24.831000000000017,False,True,True
018194.OF,建信新材料精选A,股票型,主动股票型,2.03,4.32,18.68,15.51,13.8,1.08,455,44.0,92.560553633218,36.0,93.9446366782007,83.8,24.831000000000017,False,True,True
018195.OF,建信新材料精选C,股票型,主动股票型,2.0,4.27,18.59,15.5,13.81,1.07,455,45.0,92.38754325259517,38.0,93.59861591695504,83.6,24.831000000000017,False,True,True
020775.OF,国寿安保产业升级A,股票型,主动股票型,5.67,9.36,31.75,20.95,20.95,1.42,455,6.0,99.1349480968858,1.0,100.0,83.1,24.831000000000017,False,True,True
020774.OF,国寿安保产业升级C,股票型,主动股票型,5.64,9.3,31.61,20.94,20.97,1.41,455,7.0,98.96193771626297,2.0,99.82698961937716,82.9,24.831000000000017,False,True,True
021875.OF,路博迈资源精选A,股票型,主动股票型,3.66,6.16,24.11,21.95,15.97,1.01,455,17.0,97.2318339100346,13.0,97.92387543252596,81.9,24.831000000000017,False,True,True
021876.OF,路博迈资源精选C,股票型,主动股票型,3.62,6.09,23.91,21.94,16.0,1.0,455,18.0,97.05882352941175,14.0,97.75086505190312,81.7,24.831000000000017,False,True,True
014453.OF,中银新动力C,股票型,主动股票型,3.59,2.81,19.37,16.82,16.54,1.03,455,91.0,84.42906574394465,33.0,94.4636678200692,80.4,24.831000000000017,False,True,True
018023.OF,华商上游产业C,股票型,主动股票型,2.05,2.38,18.66,20.24,14.15,0.82,454,98.0,83.21799307958477,37.0,93.77162629757784,78.8,24.831000000000017,False,True,True
023101.OF,国寿安保智慧生活C,股票型,主动股票型,4.1,3.39,23.22,19.81,20.55,1.07,454,70.0,88.06228373702423,16.0,97.40484429065744,78.0,24.831000000000017,False,True,True
020722.OF,国寿安保数字经济A,股票型,主动股票型,7.0,23.42,28.46,23.77,22.32,1.11,455,1.0,100.0,3.0,99.65397923875432,76.3,24.831000000000017,False,True,True
020723.OF,国寿安保数字经济C,股票型,主动股票型,6.97,23.36,28.35,23.76,22.34,1.11,455,2.0,99.82698961937716,4.0,99.48096885813148,76.2,24.831000000000017,False,True,True
020487.OF,华富成长企业精选C,股票型,主动股票型,4.84,4.49,18.31,18.94,17.09,0.86,455,43.0,92.73356401384083,41.0,93.07958477508652,76.2,24.831000000000017,False,True,True
016449.OF,南方新材料A,股票型,主动股票型,4.33,3.93,20.13,18.32,20.62,0.99,455,61.0,89.61937716262976,28.0,95.32871972318338,76.0,24.831000000000017,False,True,True
016450.OF,南方新材料C,股票型,主动股票型,4.3,3.89,20.03,18.33,20.64,0.98,455,62.0,89.44636678200692,30.0,94.98269896193771,75.7,24.831000000000017,False,True,True
015145.OF,同泰新能源优选1年持有A,股票型,主动股票型,5.84,2.87,23.0,23.69,19.92,0.89,455,87.0,85.12110726643598,18.0,97.05882352941175,73.8,24.831000000000017,False,True,True
015146.OF,同泰新能源优选1年持有C,股票型,主动股票型,5.81,2.83,22.91,23.69,19.93,0.88,455,89.0,84.77508650519032,19.0,96.88581314878893,73.6,24.831000000000017,False,True,True
017916.OF,国寿安保成长优选C,股票型,主动股票型,5.04,7.52,24.71,22.67,23.75,1.0,455,11.0,98.2698961937716,10.0,98.44290657439446,73.3,24.831000000000017,False,True,True
021662.OF,国富亚洲机会C,股票型,主动股票型,0.41,4.17,19.68,18.68,22.96,0.95,444,53.0,91.00346020761243,31.0,94.80968858131487,72.8,24.831000000000017,False,True,True
017132.OF,中银新能源产业A,股票型,主动股票型,9.23,9.2,19.12,21.44,19.05,0.8,455,8.0,98.78892733564014,34.0,94.29065743944636,72.7,24.831000000000017,False,True,True
017133.OF,中银新能源产业C,股票型,主动股票型,9.2,9.14,19.02,21.44,19.07,0.79,455,9.0,98.6159169550173,35.0,94.11764705882352,72.4,24.831000000000017,False,True,True
018817.OF,景顺长城中小创C,股票型,主动股票型,2.76,4.6,15.59,18.37,18.76,0.74,455,39.0,93.42560553633218,57.0,90.3114186851211,70.9,24.831000000000017,False,True,True
015904.OF,广发新能源精选A,股票型,主动股票型,4.31,5.58,16.73,20.61,19.37,0.71,455,27.0,95.50173010380622,48.0,91.86851211072664,70.0,24.831000000000017,False,True,True
013495.OF,信澳产业优选一年持有A,混合型,混合型-偏股,20.16,19.02,26.5,14.63,8.39,1.68,455,16.0,99.71253353775391,49.0,99.08151549942596,96.7,24.075,False,True,True
013496.OF,信澳产业优选一年持有C,混合型,混合型-偏股,20.1,18.91,26.3,14.64,8.43,1.66,455,17.0,99.69336910693752,50.0,99.062380405664,96.5,24.075,False,True,True
023915.OF,永赢价值发现慧选A,混合型,混合型-偏股,3.89,7.91,26.28,14.78,10.03,1.64,366,126.0,97.6044461479494,51.0,99.04324531190204,96.2,24.075,False,True,True
