ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,scale_status,pass_performance,pass_quality,veto,is_core,is_watch,is_backup,fund_scale,high_quality
026472.OF,益民创新优势C,混合型,混合型-偏股,-5.44,-7.54,1.95,15.17,8.0,0.0,46,4622.0,11.441165197393632,3086.0,40.96823574435516,52.4,watch,True,False,False,False,False,True,2.2372234335227894,False
026273.OF,平安数字经济精选A,混合型,混合型-偏股,-3.8,-13.92,-12.9,31.48,20.99,-0.47,42,5144.0,1.4373323112303549,5211.0,0.3061615001913487,36.8,watch,True,False,False,False,False,True,2.2040623415796867,False
026274.OF,平安数字经济精选C,混合型,混合型-偏股,-3.81,-13.96,-12.96,31.49,21.03,-0.48,42,5146.0,1.3990034495975467,5212.0,0.2870264064293915,36.7,watch,True,False,False,False,False,True,3.0612021769413413,False
024590.OF,中欧港股通机遇A,混合型,混合型-偏股,-8.71,-6.93,-4.04,18.27,10.74,-0.33,41,4517.0,13.453430433116132,4868.0,6.869498660543439,52.2,watch,True,False,False,False,False,True,3.4237857566600005,False
024591.OF,中欧港股通机遇C,混合型,混合型-偏股,-8.72,-6.95,-4.11,18.27,10.75,-0.33,41,4520.0,13.395937140666923,4875.0,6.735553004209716,52.1,watch,True,False,False,False,False,True,2.8150713849224833,False
026324.OF,广发消费智选C,混合型,混合型-偏股,-7.52,-8.04,-4.48,14.17,9.83,-0.46,50,4695.0,10.042161747796088,4901.0,6.238040566398773,51.3,watch,True,False,False,False,False,True,2.066329017815994,False
025702.OF,惠升均衡回报A,混合型,混合型-偏股,-2.83,-6.02,1.11,17.87,6.99,-0.05,49,4363.0,16.404752778842468,3615.0,30.84577114427861,59.9,watch,True,False,False,False,False,True,4.617288723903635,False
025871.OF,圆信永丰沪港深消费精选C,混合型,混合型-偏股,-6.29,-6.97,-6.6,6.52,8.42,-1.32,83,4526.0,13.28095055576849,5053.0,3.329506314580944,43.8,watch,True,False,False,False,False,True,4.651860638763061,False
025870.OF,圆信永丰沪港深消费精选A,混合型,混合型-偏股,-6.28,-6.96,-6.58,6.51,8.41,-1.32,83,4523.0,13.338443848217707,5052.0,3.3486414083429006,43.8,watch,True,False,False,False,False,True,117.1462414781317,False
025222.OF,创金合信弘科A,混合型,混合型-偏股,-3.25,-6.53,9.11,26.78,7.64,0.27,39,4452.0,14.699118436182443,1016.0,80.57787983161117,65.1,watch,True,False,False,False,False,True,1.2183220480949266,False
026227.OF,恒越优势精选C,混合型,混合型-偏股,1.73,-4.73,-0.35,25.45,9.88,-0.09,88,4059.0,22.23073974702952,4331.0,17.145044010715647,53.9,watch,True,False,False,False,False,True,234.13328213529658,False
025584.OF,光大阳光智造A,混合型,混合型-偏股,-2.21,-3.36,-0.81,11.61,5.49,-0.24,86,3682.0,29.45573016481411,4453.0,14.810562571756602,54.8,watch,True,False,False,False,False,True,4.090777518238277,False
025585.OF,光大阳光智造C,混合型,混合型-偏股,-2.23,-3.4,-0.88,11.61,5.51,-0.25,86,3700.0,29.110770410118825,4471.0,14.466130884041329,54.7,watch,True,False,False,False,False,True,168.7716724723357,False
025846.OF,华安消费智选C,混合型,混合型-偏股,-6.48,-5.92,-2.57,14.3,9.72,-0.32,65,4349.0,16.673054810272138,4712.0,9.854573287409108,53.3,watch,True,False,False,False,False,True,2.781423425652679,False
024818.OF,中欧医药生物A,混合型,混合型-偏股,-7.63,-9.17,-8.11,29.43,14.25,-0.34,32,4855.0,6.975852817171335,5123.0,1.9900497512437831,44.0,watch,True,False,False,False,False,True,1.7700718137919997,False
025589.OF,光大阳光香港精选C,混合型,混合型-偏股,-7.66,-7.09,-4.15,15.23,10.91,-0.4,87,4560.0,12.629359908010729,4878.0,6.678147722923844,51.3,watch,True,False,False,False,False,True,2.761182822901914,False
025588.OF,光大阳光香港精选美元A,混合型,混合型-偏股,-6.94,-5.58,-1.9,15.29,9.78,-0.25,87,4274.0,18.11038712150249,4626.0,11.500191350937616,54.2,watch,True,False,False,False,False,True,2.4979042100201756,False
025940.OF,浦银安盛港股通消费A,混合型,混合型-偏股,-8.97,-8.55,-7.7,14.89,11.35,-0.65,41,4771.0,8.585665005749332,5102.0,2.391886720244929,47.8,watch,True,False,False,False,False,True,114.31175551056045,False
026137.OF,山证资管策略精选C,灵活配置型,混合型-平衡,2.33,7.75,-1.63,36.6,10.17,-0.1,99,19.0,96.19450317124736,417.0,12.050739957716704,49.4,watch,True,False,False,False,False,True,4.55024563844899,False
025667.OF,银华鑫禾C,混合型,混合型-偏股,-4.66,-4.11,-4.3,13.8,8.4,-0.46,32,3923.0,24.83710233806056,4885.0,6.544202066590121,51.4,watch,True,False,False,False,False,True,4.576926294278815,False
024841.OF,信澳高端装备A,混合型,混合型-偏股,0.12,-5.71,9.61,25.14,8.02,0.3,79,4310.0,17.420467612111924,947.0,81.89820130118638,66.7,watch,True,False,False,False,False,True,2.332164388388085,False
025884.OF,东方城镇消费主题C,混合型,混合型-偏股,-14.12,-17.85,-14.68,20.24,23.5,-0.82,123,5198.0,0.402453047144502,5219.0,0.1530807500956799,36.6,watch,True,False,False,False,False,True,1240.5099062431045,False
025855.OF,中信保诚消费机遇C,混合型,混合型-偏股,-7.68,-5.71,-2.43,10.05,9.15,-0.44,118,4303.0,17.554618627826756,4696.0,10.160734787600456,52.1,watch,True,False,False,False,False,True,159.6099309680393,False
025860.OF,万家泓裕成长驱动A,混合型,混合型-偏股,-1.72,-6.58,10.26,28.23,10.04,0.29,117,4461.0,14.526638558834804,847.0,83.81171067738232,64.3,watch,True,False,False,False,False,True,2.885344522957726,False
025647.OF,平安高端装备C,混合型,混合型-偏股,1.27,-10.9,19.89,34.93,14.12,0.51,125,5036.0,3.507090839402072,146.0,97.22541140451588,67.8,watch,True,False,False,False,False,True,155.490935359973,False
025777.OF,东方阿尔法瑞享A,混合型,混合型-偏股,3.91,-4.64,3.66,34.55,14.1,0.05,146,4043.0,22.537370640092,2345.0,55.14734022196709,46.6,watch,True,False,False,False,False,True,157.533801759841,False
025778.OF,东方阿尔法瑞享C,混合型,混合型-偏股,3.88,-4.68,3.59,34.55,14.11,0.05,146,4053.0,22.34572633192794,2373.0,54.611557596632224,46.5,watch,True,False,False,False,False,True,1.170574484356383,False
025341.OF,鹏华制造升级C,混合型,混合型-偏股,-5.49,-15.99,-5.85,30.78,16.98,-0.25,63,5185.0,0.6515906477577604,5003.0,4.2862610026789145,42.8,watch,True,False,False,False,False,True,4.505081522466226,False
024356.OF,国泰启明回报,混合型,混合型-偏股,-2.86,-7.05,-4.79,7.08,10.09,-0.96,154,4545.0,12.916826370256809,4932.0,5.644852659778032,44.7,watch,True,False,False,False,False,True,2.837642678328466,False
025071.OF,东方红医疗创新C,混合型,混合型-偏股,-6.17,-6.74,-8.12,18.4,18.29,-0.55,93,4486.0,14.047527788424684,5125.0,1.9517795637198576,43.6,watch,True,False,False,False,False,True,161.38921773910056,False
025572.OF,银华科技创新C,混合型,混合型-偏股,-2.68,-5.08,-0.87,16.47,9.32,-0.17,188,4181.0,19.89267918742813,4465.0,14.580941446613094,55.5,watch,True,False,False,False,False,True,168.63953700089994,False
025450.OF,万家数字经济C,股票型,主动股票型,2.78,-7.06,-2.46,20.38,18.16,-0.22,181,443.0,23.529411764705888,480.0,17.128027681660896,49.1,watch,True,False,False,False,False,True,4.618371055696855,False
025449.OF,万家数字经济A,股票型,主动股票型,2.81,-7.02,-2.36,20.39,18.01,-0.21,181,441.0,23.87543252595156,477.0,17.647058823529417,49.3,watch,True,False,False,False,False,True,4.447462858305236,False
024836.OF,中欧港股通科技A,混合型,混合型-偏股,-6.47,-4.67,1.08,23.04,15.07,-0.04,177,4050.0,22.40321962437716,3633.0,30.501339456563336,54.2,watch,True,False,False,False,False,True,4.899047537574872,False
025471.OF,华西研究精选C,混合型,混合型-偏股,-6.14,-7.44,1.2,19.38,18.59,-0.04,192,4613.0,11.613645074741283,3546.0,32.166092613853806,53.3,watch,True,False,False,False,False,True,2.498573956127644,False
024683.OF,东海价值臻选A,混合型,混合型-偏股,-3.84,-1.94,-3.28,7.94,8.08,-0.66,188,3087.0,40.85856650057493,4793.0,8.304630692690395,48.6,watch,True,False,False,False,False,True,109.70012634639386,False
025472.OF,华西优选成长一年持有C,混合型,混合型-偏股,-5.67,-11.3,-2.69,24.22,21.45,-0.19,192,5059.0,3.066308930624761,4732.0,9.471871412169918,43.8,watch,True,False,False,False,False,True,1.5593024363804673,False
025403.OF,工银新经济人民币C,灵活配置型,混合型-平衡,-7.57,-4.83,-0.1,23.13,18.33,-0.09,189,373.0,21.35306553911205,392.0,17.336152219873146,48.9,watch,True,False,False,False,False,True,2.9449439504025743,False
025468.OF,富国创新趋势C,股票型,主动股票型,-0.75,-6.19,-4.16,24.63,16.57,-0.25,202,422.0,27.162629757785474,505.0,12.802768166089962,47.2,watch,True,False,False,False,False,True,1.0543467561706852,False
025382.OF,长盛研发回报C,混合型,混合型-偏股,-2.54,-2.59,-1.08,9.97,9.1,-0.31,208,3363.0,35.569183595247225,4506.0,13.796402602372748,54.0,watch,True,False,False,False,False,True,1.0192524637696725,False
025002.OF,交银产业臻选,混合型,混合型-偏股,-9.13,-8.19,-4.78,9.77,10.48,-0.69,176,4719.0,9.582215408202376,4931.0,5.66398775353999,48.5,watch,True,False,False,False,False,True,3.5173547411196773,False
023434.OF,金元顺安乾利C,混合型,混合型-偏股,-2.01,-6.01,5.09,12.24,7.47,0.25,180,4362.0,16.423917209658878,1872.0,64.19823957137389,63.0,watch,True,False,False,False,False,True,2.893730583121214,False
025328.OF,诺安稳健回报D,灵活配置型,混合型-平衡,-2.52,-4.52,13.35,25.21,13.1,0.45,224,366.0,22.83298097251586,56.0,88.37209302325581,67.4,watch,True,False,False,False,False,True,1.7722756799785346,False
025022.OF,浦银安盛医疗创新A,混合型,混合型-偏股,-6.39,-7.62,-2.82,22.03,24.93,-0.22,209,4633.0,11.230356458413182,4751.0,9.108304630692688,42.0,watch,True,False,False,False,False,True,4.915429354125667,False
025023.OF,浦银安盛医疗创新C,混合型,混合型-偏股,-6.37,-7.63,-2.86,22.03,25.03,-0.22,209,4635.0,11.192027596780374,4756.0,9.01262916188289,41.9,watch,True,False,False,False,False,True,2.2106698043076793,False
024088.OF,百嘉科技创新C,混合型,混合型-偏股,-6.44,-10.33,0.01,14.51,15.66,-0.14,192,4976.0,4.6569566883863605,4233.0,19.02028319938768,52.2,watch,True,False,False,False,False,True,4.333861553846488,False
025017.OF,华富医疗创新A,混合型,混合型-偏股,-7.1,-9.27,-8.1,22.67,32.78,-0.45,201,4863.0,6.822537370640092,5121.0,2.0283199387676976,33.8,watch,True,False,False,False,False,True,2.317850674440682,False
025018.OF,华富医疗创新C,混合型,混合型-偏股,-7.12,-9.31,-8.17,22.68,32.92,-0.45,201,4869.0,6.707550785741667,5127.0,1.9135093761959432,33.7,watch,True,False,False,False,False,True,120.45785835450438,False
024680.OF,东海产业优选D,混合型,混合型-偏股,-2.15,-4.11,4.47,11.7,8.44,0.21,239,3920.0,24.894595630509777,2055.0,60.69651741293532,61.0,watch,True,False,False,False,False,True,4.115745770364084,False
024597.OF,财通成长量化选股C,混合型,混合型-偏股,-2.73,-3.33,-1.71,12.08,8.2,-0.31,197,3671.0,29.66653890379456,4602.0,11.959433601224646,53.7,watch,True,False,False,False,False,True,4.338392820450875,False
024501.OF,招商科技智选A,混合型,混合型-偏股,-3.45,-9.39,-7.25,28.97,15.67,-0.32,231,4876.0,6.573399770026834,5080.0,2.812858783008032,43.5,watch,True,False,False,False,False,True,4.682001518685178,False
022995.OF,中海科技创新A,混合型,混合型-偏股,-1.76,-4.67,8.7,19.26,15.8,0.35,267,4049.0,22.42238405519356,1091.0,79.14274779946422,62.3,watch,True,False,False,False,False,True,3.7640049659918766,False
024486.OF,东吴裕盈平衡E,混合型,混合型-偏股,-1.73,-2.97,-3.79,7.94,5.32,-0.73,281,3535.0,32.272901494825604,4834.0,7.520091848450061,47.8,watch,True,False,False,False,False,True,2.7357738960869287,False
024052.OF,工银科技先锋A,混合型,混合型-偏股,-1.37,-6.23,-2.02,24.33,13.19,-0.17,261,4408.0,15.542353392104255,4643.0,11.17489475698431,50.4,watch,True,False,False,False,False,True,1.4412859001307803,False
024485.OF,东吴裕盈平衡D,混合型,混合型-偏股,-1.77,-3.03,-3.9,7.93,5.38,-0.74,281,3563.0,31.736297431966275,4849.0,7.23306544202067,47.6,watch,True,False,False,False,False,True,229.27046477790387,False
023174.OF,兴华景成C,混合型,混合型-偏股,3.93,-2.42,-8.31,18.0,17.88,-0.57,289,3295.0,36.872364890762746,5138.0,1.7030233448143917,43.6,watch,True,False,False,False,False,True,3.616384427116169,False
024598.OF,兴业医疗创新A,混合型,混合型-偏股,-5.94,-5.99,-5.82,18.05,25.55,-0.43,199,4360.0,16.462246071291688,4999.0,4.362801377726755,39.7,watch,True,False,False,False,False,True,3.228988432883344,False
024467.OF,鹏华共赢未来A,混合型,混合型-偏股,-4.71,0.48,-1.12,9.31,7.02,-0.34,207,1254.0,75.98696818704485,4514.0,13.64332185227708,53.3,watch,True,False,False,False,False,True,2.2501254412717935,False
024450.OF,易方达成长进取A,混合型,混合型-偏股,0.56,-1.32,-2.02,19.93,13.09,-0.2,222,2766.0,47.010348792640855,4642.0,11.194029850746269,52.4,watch,True,False,False,False,False,True,100.0583002272948,False
024044.OF,东方红港股通价值优选A,混合型,混合型-偏股,-4.56,-4.95,3.38,12.46,8.57,0.11,291,4143.0,20.62092755845152,2445.0,53.233830845771145,57.2,watch,True,False,False,False,False,True,1.5648624500882709,False
024358.OF,东方阿尔法健康产业C,混合型,混合型-偏股,-7.21,-9.69,-11.05,26.63,35.77,-0.49,320,4908.0,5.96013798390188,5192.0,0.6697282816685801,30.4,watch,True,False,False,False,False,True,3.765771172089534,False
024380.OF,平安港股通医疗创新精选C,混合型,混合型-偏股,-7.8,-8.86,-5.23,25.9,32.12,-0.28,301,4810.0,7.838252203909546,4952.0,5.262150784538844,34.5,watch,True,False,False,False,False,True,1.5791704458920446,False
024423.OF,东方阿尔法科技优选A,混合型,混合型-偏股,-1.58,-8.42,5.7,25.37,16.18,0.15,328,4751.0,8.968953622077425,1672.0,68.02525832376578,52.6,watch,True,False,False,False,False,True,4.023370984770444,False
024424.OF,东方阿尔法科技优选C,混合型,混合型-偏股,-1.6,-8.46,5.61,25.36,16.27,0.14,328,4757.0,8.853967037179,1699.0,67.50861079219288,52.3,watch,True,False,False,False,False,True,2.406030931032057,False
