ts_code,name,invest_type,category,fund_scale,scale_status,return_3m,return_6m,return_1y,quality_score,percentile_6m,percentile_1y,stock_ratio_4q_avg,is_core,is_watch,is_backup
026472.OF,益民创新优势C,混合型,混合型-偏股,2.2372234335227894,watch,-5.44,-7.54,1.95,52.4,11.441165197393632,40.96823574435516,,False,False,True
026273.OF,平安数字经济精选A,混合型,混合型-偏股,2.2040623415796867,watch,-3.8,-13.92,-12.9,36.8,1.4373323112303549,0.3061615001913487,,False,False,True
026274.OF,平安数字经济精选C,混合型,混合型-偏股,3.0612021769413413,watch,-3.81,-13.96,-12.96,36.7,1.3990034495975467,0.2870264064293915,,False,False,True
024590.OF,中欧港股通机遇A,混合型,混合型-偏股,3.4237857566600005,watch,-8.71,-6.93,-4.04,52.2,13.453430433116132,6.869498660543439,,False,False,True
024591.OF,中欧港股通机遇C,混合型,混合型-偏股,2.8150713849224838,watch,-8.72,-6.95,-4.11,52.1,13.395937140666923,6.735553004209716,,False,False,True
026324.OF,广发消费智选C,混合型,混合型-偏股,2.066329017815994,watch,-7.52,-8.04,-4.48,51.3,10.042161747796088,6.238040566398773,,False,False,True
025702.OF,惠升均衡回报A,混合型,混合型-偏股,4.617288723903635,watch,-2.83,-6.02,1.11,59.9,16.404752778842468,30.84577114427861,,False,False,True
025871.OF,圆信永丰沪港深消费精选C,混合型,混合型-偏股,4.651860638763061,watch,-6.29,-6.97,-6.6,43.8,13.28095055576849,3.329506314580944,,False,False,True
025870.OF,圆信永丰沪港深消费精选A,混合型,混合型-偏股,117.1462414781317,watch,-6.28,-6.96,-6.58,43.8,13.338443848217707,3.3486414083429006,,False,False,True
025222.OF,创金合信弘科A,混合型,混合型-偏股,1.2183220480949266,watch,-3.25,-6.53,9.11,65.1,14.699118436182443,80.57787983161117,,False,False,True
025846.OF,华安消费智选C,混合型,混合型-偏股,2.781423425652679,watch,-6.48,-5.92,-2.57,53.3,16.673054810272138,9.854573287409108,,False,False,True
024818.OF,中欧医药生物A,混合型,混合型-偏股,1.7700718137919995,watch,-7.63,-9.17,-8.11,44.0,6.975852817171335,1.9900497512437831,,False,False,True
025589.OF,光大阳光香港精选C,混合型,混合型-偏股,2.761182822901914,watch,-7.66,-7.09,-4.15,51.3,12.629359908010729,6.678147722923844,,False,False,True
025588.OF,光大阳光香港精选美元A,混合型,混合型-偏股,2.497904210020176,watch,-6.94,-5.58,-1.9,54.2,18.11038712150249,11.500191350937616,,False,False,True
025940.OF,浦银安盛港股通消费A,混合型,混合型-偏股,114.31175551056045,watch,-8.97,-8.55,-7.7,47.8,8.585665005749332,2.391886720244929,,False,False,True
025667.OF,银华鑫禾C,混合型,混合型-偏股,4.576926294278815,watch,-4.66,-4.11,-4.3,51.4,24.83710233806056,6.544202066590121,,False,False,True
024841.OF,信澳高端装备A,混合型,混合型-偏股,2.332164388388085,watch,0.12,-5.71,9.61,66.7,17.420467612111924,81.89820130118638,,False,False,True
025884.OF,东方城镇消费主题C,混合型,混合型-偏股,1240.5099062431043,watch,-14.12,-17.85,-14.68,36.6,0.402453047144502,0.1530807500956799,,False,False,True
025855.OF,中信保诚消费机遇C,混合型,混合型-偏股,159.6099309680393,watch,-7.68,-5.71,-2.43,52.1,17.554618627826756,10.160734787600456,,False,False,True
025860.OF,万家泓裕成长驱动A,混合型,混合型-偏股,2.885344522957726,watch,-1.72,-6.58,10.26,64.3,14.526638558834804,83.81171067738232,,False,False,True
025647.OF,平安高端装备C,混合型,混合型-偏股,155.490935359973,watch,1.27,-10.9,19.89,67.8,3.507090839402072,97.22541140451588,,False,False,True
025341.OF,鹏华制造升级C,混合型,混合型-偏股,4.505081522466226,watch,-5.49,-15.99,-5.85,42.8,0.6515906477577604,4.2862610026789145,,False,False,True
024356.OF,国泰启明回报,混合型,混合型-偏股,2.837642678328466,watch,-2.86,-7.05,-4.79,44.7,12.916826370256809,5.644852659778032,,False,False,True
025071.OF,东方红医疗创新C,混合型,混合型-偏股,161.38921773910056,watch,-6.17,-6.74,-8.12,43.6,14.047527788424684,1.9517795637198576,,False,False,True
