ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
159138.SZ,工程机械ETF易方达,易方达基金,中国工商银行,股票型,20251231,,20260113,20251211,,2.9977,0.5,0.1,,1.0,0.1,,中证工程机械主题指数收益率,L,被动指数型,契约型开放式,,20260113,20260113,E
159137.SZ,港股通医疗ETF华宝,华宝基金,财通证券,股票型,20251231,,20260112,20251215,,2.8263,0.5,0.1,,1.0,0.1,,经人民币汇率调整的中证港股通医疗主题指数收益率,L,被动指数型,契约型开放式,,20260112,20260112,E
159151.SZ,食品ETF华夏,华夏基金,招商银行,股票型,20251231,,20260114,20251222,,2.5785,0.5,0.1,,1.0,0.1,,中证全指食品指数收益率,L,被动指数型,契约型开放式,,20260114,20260114,E
560130.SH,食品ETF鹏华,鹏华基金,苏州银行,股票型,20251230,,20260113,20251215,,2.4778,0.5,0.1,,1.0,0.1,,中证全指食品指数收益率,L,被动指数型,契约型开放式,,20260113,20260113,E
159293.SZ,创业板综增强ETF建信,建信基金,中信建投证券,股票型,20251230,,20260113,20251208,,2.5916,0.5,0.1,,1.0,0.1,,创业板综合指数收益率,L,增强指数型,契约型开放式,,20260113,20260113,E
513720.SH,香港互联网ETF,国泰基金,兴业银行,股票型,20251230,,20260109,20251208,,2.7886,0.5,0.1,,1.0,0.1,,中证港股通互联网指数收益率(经汇率调整),L,被动指数型,契约型开放式,,20260109,20260109,E
159143.SZ,港股通央企红利ETF平安,平安基金,国泰海通,股票型,20251229,,20260112,20251215,,5.1355,0.5,0.1,,1.0,0.1,,恒生港股通中国央企红利指数收益率(经汇率调整),L,被动指数型,契约型开放式,,20260112,20260112,E
589130.SH,科创芯片ETF易方达,易方达基金,招商银行,股票型,20251229,,20260108,20251208,,2.7578,0.5,0.1,,1.0,0.1,,上证科创板芯片指数收益率,L,被动指数型,契约型开放式,,20260108,20260108,E
563930.SH,上证增强ETF,招商基金,中国工商银行,股票型,20251225,,20260106,20251210,,2.3559,0.8,0.1,,1.0,0.1,,上证综合指数收益率,L,增强指数型,契约型开放式,,20260106,20260106,E
159132.SZ,恒生生物科技ETF富国,富国基金,平安银行,股票型,20251224,,20260108,20251201,,2.7096,0.5,0.1,,1.0,0.1,,恒生生物科技指数收益率(使用估值汇率折算),L,被动指数型,契约型开放式,,20260108,20260108,E
159243.SZ,创业板人工智能ETF招商,招商基金,平安银行,股票型,20251224,,20260105,20251020,,2.1003,0.15,0.05,,1.0,0.1,,创业板人工智能指数收益率,L,被动指数型,契约型开放式,,20260105,20260105,E
520810.SH,港股通红利ETF易方达,易方达基金,招商银行,股票型,20251222,,20260112,20251208,,2.0736,0.15,0.05,,1.0,0.1,,中证港股通高股息投资指数收益率(使用估值汇率折算),L,被动指数型,契约型开放式,,20260112,20260112,E
563790.SH,卫星ETF鹏华,鹏华基金,兴业银行,股票型,20251218,,20260105,20251208,,3.0345,0.5,0.1,,1.0,0.1,,中证卫星产业指数收益率,L,被动指数型,契约型开放式,,20260105,20260105,E
588420.SH,科创创业人工智能ETF摩根,摩根基金,兴业银行,股票型,20251217,,20260105,20251128,,3.0765,0.5,0.1,,1.0,0.1,,中证科创创业人工智能指数收益率,L,被动指数型,契约型开放式,,20260105,20260105,E
