ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points
026413.OF,中邮睿信增强C,债券型,债券型-主动,,-0.41,1.39,6.53,1.84,-0.09,32
017286.OF,中航祥泰6个月封闭A,债券型,债券型-主动,-0.12,-0.12,-0.03,0.61,0.34,-3.31,45
024999.OF,中航祥泰6个月封闭C,债券型,债券型-主动,-0.15,-0.17,-0.1,0.6,0.37,-3.51,45
026435.OF,金信民旺E,债券型,债券型-主动,0.12,0.24,2.8,4.51,1.01,0.18,50
026316.OF,广发弘利3个月滚动持有A,债券型,债券型-主动,0.41,0.5,1.03,0.81,0.17,-1.19,52
026056.OF,东方红汇裕C,债券型,债券型-主动,-0.12,-0.22,0.78,4.24,1.14,-0.29,33
026055.OF,东方红汇裕A,债券型,债券型-主动,-0.1,-0.18,0.85,4.27,1.13,-0.27,33
026063.OF,大成元瑞诚利C,债券型,债券型-主动,-0.13,-0.31,0.36,2.52,0.64,-0.65,33
026062.OF,大成元瑞诚利A,债券型,债券型-主动,-0.1,-0.26,0.44,2.54,0.63,-0.61,33
026317.OF,广发弘利3个月滚动持有C,债券型,债券型-主动,0.39,0.47,0.98,0.81,0.17,-1.26,52
026064.OF,苏新苏匠A,债券型,债券型-主动,-0.99,-0.88,-0.88,1.65,1.24,-1.75,32
026318.OF,广发昭利中短债A,债券型,债券型-主动,0.14,0.27,0.52,0.3,0.03,-4.87,54
026319.OF,广发昭利中短债B,债券型,债券型-主动,0.14,0.26,0.51,0.31,0.03,-4.87,54
026320.OF,广发昭利中短债C,债券型,债券型-主动,0.11,0.22,0.46,0.31,0.03,-5.01,54
026133.OF,鹏华睿和90天持有A,债券型,债券型-主动,0.07,-0.1,0.74,2.31,0.68,-0.55,45
026315.OF,广发多添利六个月持有C,债券型,债券型-主动,0.14,-0.37,0.27,1.86,0.86,-0.93,54
026134.OF,鹏华睿和90天持有C,债券型,债券型-主动,0.06,-0.13,0.69,2.28,0.68,-0.58,45
026314.OF,广发多添利六个月持有A,债券型,债券型-主动,0.15,-0.34,0.31,1.87,0.86,-0.91,54
025285.OF,京管泰富京信A,债券型,债券型-主动,0.28,-0.41,0.1,2.64,1.19,-0.72,49
026322.OF,广发乾利一年持有C,债券型,债券型-主动,0.1,-0.08,0.26,1.1,0.37,-1.58,54
026321.OF,广发乾利一年持有A,债券型,债券型-主动,0.11,-0.05,0.31,1.12,0.38,-1.51,54
026065.OF,苏新苏匠C,债券型,债券型-主动,-1.01,-0.93,-0.95,1.62,1.26,-1.82,32
025286.OF,京管泰富京信C,债券型,债券型-主动,0.25,-0.45,0.03,2.63,1.2,-0.75,49
024946.OF,国联稳健鑫益C,债券型,债券型-主动,-0.72,-1.19,0.29,4.36,1.27,-0.39,38
024945.OF,国联稳健鑫益A,债券型,债券型-主动,-0.7,-1.15,0.36,4.38,1.22,-0.37,38
026032.OF,中欧稳达三个月滚动持有C,债券型,债券型-主动,0.04,0.17,0.44,0.38,0.08,-4.14,56
026031.OF,中欧稳达三个月滚动持有A,债券型,债券型-主动,0.05,0.2,0.5,0.38,0.08,-4.0,56
026035.OF,中欧稳达中短债A,债券型,债券型-主动,0.11,0.19,0.33,0.21,0.03,-8.11,56
026036.OF,中欧稳达中短债C,债券型,债券型-主动,0.09,0.16,0.28,0.21,0.03,-8.34,56
026342.OF,兴银长乐半年定期C,债券型,债券型-主动,0.09,0.09,0.19,0.58,0.09,-3.13,41
