ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,veto_reason
026201.OF,诺安利鑫D,灵活配置型,混合型-平衡,3.01,3.66,16.16,17.02,6.16,0.83,94,51.0,89.4291754756871,36.0,92.60042283298098,85.5,
025486.OF,中邮新锐量化选股A,混合型,混合型-偏股,-0.55,2.05,15.04,18.94,6.36,0.69,72,662.0,87.33231123035645,344.0,93.43666283964791,82.8,
025487.OF,中邮新锐量化选股C,混合型,混合型-偏股,-0.59,1.99,14.9,18.94,6.37,0.68,72,678.0,87.02568033729399,360.0,93.13050133945656,82.6,
025327.OF,银华嘉瑞平衡C,混合型,混合型-偏股,4.37,6.65,12.91,11.86,2.99,0.92,61,170.0,96.7612111920276,519.0,90.08802143130501,86.9,
025326.OF,银华嘉瑞平衡A,混合型,混合型-偏股,4.4,6.71,13.09,11.86,2.98,0.94,61,166.0,96.83786891529321,505.0,90.35591274397244,87.4,
025542.OF,华夏行业景气C,混合型,混合型-偏股,2.05,2.76,16.61,16.63,9.53,0.88,166,509.0,90.26446914526637,252.0,95.19709146574819,85.6,
025448.OF,万家元晟量化选股C,混合型,混合型-偏股,-1.0,2.01,14.76,15.45,9.14,0.83,183,669.0,87.19816021464163,375.0,92.84347493302717,83.6,
025447.OF,万家元晟量化选股A,混合型,混合型-偏股,-0.96,2.06,14.88,15.45,9.1,0.83,183,657.0,87.4281333844385,363.0,93.07309605817069,83.7,
025476.OF,银华瑞和C,灵活配置型,混合型-平衡,8.54,15.7,34.97,19.86,7.85,1.66,204,1.0,100.0,1.0,100.0,96.6,
023386.OF,国泰聚智量化选股A,混合型,混合型-偏股,0.01,2.29,13.05,13.45,8.61,0.82,202,604.0,88.44384821770794,507.0,90.31764255644853,82.5,
023387.OF,国泰聚智量化选股C,混合型,混合型-偏股,,2.27,13.01,13.44,8.63,0.82,202,606.0,88.40551935607512,511.0,90.24110218140069,82.5,
018862.OF,大成创优鑫选A,混合型,混合型-偏股,2.86,2.41,17.29,19.51,10.69,0.78,186,590.0,88.7121502491376,228.0,95.65633371603522,82.5,
018863.OF,大成创优鑫选C,混合型,混合型-偏股,2.82,2.33,17.14,19.5,10.7,0.78,186,600.0,88.52050594097355,232.0,95.57979334098738,82.4,
025217.OF,永赢资源慧选C,混合型,混合型-偏股,2.89,5.31,21.87,22.58,10.08,0.88,220,243.0,95.36220774243004,106.0,97.99081515499427,85.9,
