ts_code,name,category,return_1y,return_6m,volatility,max_drawdown,sharpe,quality_score,note
025447.OF,万家元晟量化选股A,混合型-偏股,14.88,2.06,15.45,9.1,0.83,83.7,【待补充】规模数据待验证
020199.OF,万家双引擎C,混合型-平衡,32.85,10.07,20.58,12.38,1.5,92.9,【待补充】规模数据待验证
019879.OF,万家周期驱动A,主动股票型,25.64,7.36,20.19,15.93,1.17,85.0,【待补充】规模数据待验证
019337.OF,万家国企动力C,混合型-偏股,24.15,7.85,20.89,13.21,1.06,86.7,【待补充】规模数据待验证
015566.OF,万家精选C,混合型-偏股,18.0,11.43,17.63,11.71,0.91,84.0,【待补充】规模数据待验证
013285.OF,上银价值增长3个月持有C,混合型-偏股,15.4,2.7,11.5,6.45,1.17,90.8,【待补充】规模数据待验证
023449.OF,上银资源精选C,混合型-偏股,23.63,4.89,21.44,10.75,1.01,88.6,【待补充】规模数据待验证
021094.OF,东方低碳经济A,混合型-偏股,20.42,1.43,21.07,13.52,0.87,81.4,【待补充】规模数据待验证
022269.OF,中信保诚周期优选A,混合型-偏股,25.48,5.55,18.49,11.45,1.27,91.4,【待补充】规模数据待验证
020151.OF,中信保诚景气优选A,混合型-偏股,14.63,3.07,11.3,7.97,1.12,89.3,【待补充】规模数据待验证
013845.OF,中信建投睿选6个月持有C,混合型-偏股,19.77,10.71,14.39,11.98,1.23,88.6,【待补充】规模数据待验证
024640.OF,中欧化工产业A,混合型-偏股,18.31,3.2,21.32,9.87,0.77,83.5,【待补充】规模数据待验证
023036.OF,中欧资源精选A,混合型-偏股,22.03,1.44,23.93,13.56,0.84,80.0,【待补充】规模数据待验证
020360.OF,中海混改红利主题C,混合型-平衡,32.27,5.72,20.41,14.53,1.48,91.1,【待补充】规模数据待验证
025486.OF,中邮新锐量化选股A,混合型-偏股,15.04,2.05,18.94,6.36,0.69,82.8,【待补充】规模数据待验证
014453.OF,中银新动力C,主动股票型,19.37,2.81,16.82,16.54,1.03,80.4,【待补充】规模数据待验证
016520.OF,中银稳进策略C,混合型-平衡,23.07,4.53,19.22,12.89,1.1,87.4,【待补充】规模数据待验证
019401.OF,交银瑞元三年定开,混合型-偏股,14.86,7.27,18.52,4.61,0.69,82.8,【待补充】规模数据待验证
013495.OF,信澳产业优选一年持有A,混合型-偏股,26.5,19.02,14.63,8.39,1.68,96.7,【待补充】规模数据待验证
017835.OF,信澳匠心回报A,混合型-偏股,17.16,4.07,18.09,10.13,0.84,84.5,【待补充】规模数据待验证
015455.OF,信澳周期动力C,混合型-偏股,16.83,3.91,17.16,13.35,0.86,80.3,【待补充】规模数据待验证
024168.OF,信澳蓝筹精选C,主动股票型,16.94,1.89,14.57,7.7,1.03,89.2,【待补充】规模数据待验证
013554.OF,信澳远见价值A,混合型-偏股,16.44,1.08,14.47,10.2,1.0,87.2,【待补充】规模数据待验证
024499.OF,兴华景和A,混合型-偏股,19.19,5.74,11.75,7.91,1.46,94.1,【待补充】规模数据待验证
011685.OF,创金合信先进装备A,主动股票型,20.21,3.01,14.34,11.9,1.27,89.1,【待补充】规模数据待验证
024928.OF,华夏卓越成长A,混合型-偏股,15.14,3.56,17.96,9.68,0.73,81.5,【待补充】规模数据待验证
018918.OF,华夏清洁能源龙头A,混合型-偏股,39.14,16.04,22.5,15.66,1.65,91.0,【待补充】规模数据待验证
