ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points
159293.SZ,创业板综增强ETF建信,增强指数型,指数增强型,-1.12,-2.34,1.67,17.93,5.27,-0.02,40
563930.SH,上证增强ETF,增强指数型,指数增强型,-1.64,-1.61,3.69,13.2,4.01,0.13,45
562070.SH,沪深300指增ETF,增强指数型,指数增强型,-1.01,-0.96,0.97,10.45,3.37,-0.1,58
563600.SH,A500增强ETF易方达,增强指数型,指数增强型,-0.65,-0.97,4.49,11.64,6.04,0.21,182
159290.SZ,创业板综指增强ETF东财,增强指数型,指数增强型,0.69,-1.32,9.41,17.06,9.11,0.43,195
588550.SH,科创综指增强ETF易方达,增强指数型,指数增强型,-0.59,-5.67,10.76,21.78,13.48,0.4,205
159291.SZ,创业板综增强ETF招商,增强指数型,指数增强型,-0.21,-1.74,7.62,15.96,9.55,0.35,219
588690.SH,科创指数增强ETF,增强指数型,指数增强型,-1.44,-6.31,7.94,20.45,12.18,0.29,219
159292.SZ,创业板综增强ETF华宝,增强指数型,指数增强型,-0.46,-1.41,7.41,16.6,9.39,0.33,222
512370.SH,A500增强ETF华夏,增强指数型,指数增强型,-0.05,-0.19,4.91,11.42,5.96,0.25,240
512030.SH,中证A50增强ETF易方达,增强指数型,指数增强型,-2.6,-0.59,-1.12,12.1,7.63,-0.26,251
160641.SZ,鹏华丰锐LOF,债券型,债券型-主动,-0.04,-0.63,-1.84,4.26,3.02,-0.9,291
588520.SH,科创增强ETF,增强指数型,指数增强型,-1.33,-5.82,10.17,19.44,15.24,0.42,303
159249.SZ,A500增强ETF工银,增强指数型,指数增强型,-0.96,-1.86,4.5,11.42,5.7,0.22,309
563630.SH,A500增强ETF国联安,增强指数型,指数增强型,-0.8,-1.2,3.78,11.54,6.85,0.15,311
561090.SH,中证A500增强ETF,增强指数型,指数增强型,-0.49,-1.56,4.59,11.39,6.32,0.23,311
159240.SZ,中证A500增强ETF天弘,增强指数型,指数增强型,-0.81,-1.07,4.07,11.53,6.51,0.18,330
588670.SH,科创综指增强ETF,增强指数型,指数增强型,-1.42,-6.95,9.62,19.73,13.86,0.39,329
159238.SZ,300ETF增强,增强指数型,指数增强型,-0.22,-0.16,2.49,10.47,7.0,0.05,339
159226.SZ,中证A500增强ETF,增强指数型,指数增强型,-1.28,-0.68,5.35,10.6,6.64,0.32,353
563550.SH,A500增强ETF摩根,增强指数型,指数增强型,-0.98,-1.41,4.72,10.09,6.29,0.27,369
501227.SH,泓德红利优选LOF,混合型,混合型-偏股,2.75,5.21,9.33,7.71,6.94,0.95,354
562810.SH,上证指数增强ETF,增强指数型,指数增强型,-1.45,-2.99,1.02,9.58,9.0,-0.1,448
588500.SH,科创100增强ETF易方达,增强指数型,指数增强型,-1.64,-6.16,11.83,22.66,20.4,0.43,455
588680.SH,科创100增强ETF,增强指数型,指数增强型,-2.52,-7.22,9.29,19.6,17.14,0.37,455
159552.SZ,中证2000增强ETF,增强指数型,指数增强型,-0.7,-2.45,9.84,17.58,19.03,0.45,455
563090.SH,上证50增强ETF易方达,增强指数型,指数增强型,-2.89,-1.54,0.76,11.77,10.85,-0.11,455
588450.SH,科创50ETF增强,增强指数型,指数增强型,-2.13,-7.54,9.39,20.74,16.07,0.36,455
563280.SH,A50增强ETF富国,增强指数型,指数增强型,-1.67,-1.63,-2.94,12.0,10.75,-0.41,455
159553.SZ,中证2000增强ETF海富通,增强指数型,指数增强型,0.33,-1.59,10.72,16.23,17.14,0.54,454
159556.SZ,中证2000ETF增强,增强指数型,指数增强型,1.03,-0.67,11.31,16.29,18.27,0.57,455
159555.SZ,2000增强ETF,增强指数型,指数增强型,0.64,-1.24,10.33,16.48,17.9,0.51,455
561780.SH,1000增强ETF,增强指数型,指数增强型,0.66,-1.92,10.99,15.63,15.5,0.57,455
560590.SH,1000ETF增强,增强指数型,指数增强型,0.83,-1.88,10.54,15.88,15.94,0.54,455
561280.SH,中证1000ETF增强,增强指数型,指数增强型,1.14,-2.2,13.87,16.2,16.62,0.73,455
159517.SZ,800增强ETF,增强指数型,指数增强型,-0.62,-1.32,7.83,11.13,10.22,0.52,455
501201.SH,科创红土LOF,股票型,主动股票型,6.03,15.17,17.96,30.34,19.71,0.53,455
560950.SH,中证500增强ETF汇添富,增强指数型,指数增强型,-0.6,-2.69,9.69,13.47,12.82,0.57,455
501312.SH,海外科技LOF,股票型,主动股票型,-1.91,-8.53,-3.96,22.06,19.89,-0.27,444
501225.SH,全球芯片LOF,股票型,主动股票型,-3.9,-4.6,7.98,22.58,19.67,0.27,444
561950.SH,500指数增强ETF,增强指数型,指数增强型,-1.28,-3.92,8.43,14.11,13.39,0.46,455
159676.SZ,创业板增强ETF富国,增强指数型,指数增强型,-1.01,-2.41,1.85,19.29,17.46,-0.01,455
159685.SZ,1000增强ETF天弘,增强指数型,指数增强型,1.38,0.66,15.13,15.53,15.3,0.85,454
563030.SH,中证500增强ETF易方达,增强指数型,指数增强型,0.95,-2.26,11.45,14.84,12.48,0.64,455
159678.SZ,中证500增强ETF,增强指数型,指数增强型,0.67,-2.86,12.36,15.09,12.89,0.69,455
159679.SZ,中证1000增强ETF,增强指数型,指数增强型,-1.23,-3.41,9.45,15.53,15.01,0.48,455
588320.SH,双创50ETF增强,增强指数型,指数增强型,-0.43,-3.76,-1.09,22.22,18.18,-0.14,455
561000.SH,沪深300ETF增强基金,增强指数型,指数增强型,-2.21,-2.3,-1.31,10.25,9.98,-0.32,455
588460.SH,科创50增强ETF,增强指数型,指数增强型,-2.9,-7.31,4.68,22.31,17.1,0.12,455
588370.SH,科创50增强ETF南方,增强指数型,指数增强型,-2.52,-7.86,5.9,20.34,15.64,0.19,455
159677.SZ,1000增强ETF,增强指数型,指数增强型,0.74,-0.53,12.24,14.22,13.54,0.72,455
159675.SZ,创业板增强ETF,增强指数型,指数增强型,-1.32,-3.09,-0.79,20.36,18.39,-0.14,455
561590.SH,中证1000增强ETF,增强指数型,指数增强型,-0.78,-3.16,9.79,16.08,15.95,0.48,455
159680.SZ,1000ETF增强,增强指数型,指数增强型,-1.09,-2.02,12.06,15.41,16.29,0.65,455
501222.SH,如意招享FOF,混合型,混合型-偏股,-0.42,-0.23,0.52,1.34,0.86,-1.1,444
501220.SH,行业轮动FOF,股票型,主动股票型,-3.13,-1.61,19.7,23.7,19.59,0.75,455
162721.SZ,广发积极FOF-LOF,混合型,混合型-偏股,-0.34,-0.69,8.48,13.54,12.77,0.48,444
501217.SH,行业配置FOF,股票型,主动股票型,-0.84,-1.5,5.07,13.1,11.61,0.23,455
161133.SZ,优势回报FOF-LOF,混合型,混合型-偏股,2.68,2.39,8.94,18.78,14.91,0.37,444
560100.SH,中证500增强ETF南方,增强指数型,指数增强型,0.5,-1.87,12.75,14.81,13.33,0.73,455
160326.SZ,优选配置FOF-LOF,股票型,主动股票型,-0.97,-2.93,0.24,12.99,12.78,-0.14,455
501216.SH,富国行业精选FOF,股票型,主动股票型,0.62,-0.31,4.44,11.36,9.5,0.21,455
501219.SH,智胜先锋LOF,股票型,主动股票型,0.26,-1.17,8.89,12.99,12.79,0.53,455
159610.SZ,500ETF增强,增强指数型,指数增强型,-0.08,-2.55,11.65,14.94,13.4,0.65,455
501211.SH,民生加银优享FOF,混合型,混合型-偏股,-0.39,0.32,2.85,4.37,3.0,0.19,444
561550.SH,500增强ETF,增强指数型,指数增强型,0.68,-1.82,11.25,15.69,13.99,0.59,455
561990.SH,沪深300增强ETF,增强指数型,指数增强型,-2.85,-1.99,-0.26,11.12,10.07,-0.2,455
561300.SH,300增强ETF,增强指数型,指数增强型,-1.38,-0.42,1.89,10.94,10.27,-0.01,455
501218.SH,工银睿智进取FOF,股票型,主动股票型,-3.98,-6.75,5.06,16.21,12.71,0.19,455
501215.SH,积极配置FOF,混合型,混合型-偏股,-2.22,-2.06,2.37,10.78,10.49,0.03,440
501210.SH,交银智选星光FOF,混合型,混合型-偏股,0.54,-0.39,8.41,16.48,16.62,0.39,444
501213.SH,中欧汇选FOF,混合型,混合型-偏股,-5.6,-5.9,-2.41,11.0,11.04,-0.4,441
501212.SH,广发优选配置FOF,混合型,混合型-偏股,-0.93,-1.01,2.8,7.15,4.79,0.11,444
501209.SH,富久食品饮料LOF,混合型,混合型-偏股,-2.84,-1.24,-2.07,11.32,16.44,-0.36,455
506008.SH,科创板长城,混合型,混合型-偏股,-2.79,-8.65,6.83,20.45,14.28,0.24,455
163418.SZ,兴全合兴LOF,混合型,混合型-偏股,1.94,1.74,11.8,16.78,17.8,0.58,455
501207.SH,华夏创新未来LOF,混合型,混合型-偏股,-4.65,-10.2,-2.43,17.28,15.95,-0.26,455
501206.SH,添富创新未来LOF,混合型,混合型-偏股,0.32,-3.84,3.82,17.94,15.85,0.1,455
501208.SH,中欧创新未来LOF,混合型,混合型-偏股,-4.47,-10.74,-2.46,20.61,19.85,-0.22,455
501205.SH,鹏华创新未来LOF,混合型,混合型-偏股,-0.89,-9.12,-13.6,27.19,24.82,-0.57,455
501203.SH,易基创新未来LOF,混合型,混合型-偏股,-3.29,-3.55,2.55,17.99,17.6,0.03,455
162720.SZ,广发创业板定开,混合型,混合型-偏股,1.26,-1.31,0.6,22.45,19.22,-0.06,455
160529.SZ,创业板博时定开,混合型,混合型-偏股,-0.41,-4.06,0.59,17.6,15.63,-0.08,455
160143.SZ,创业板定开南方,混合型,混合型-偏股,-0.67,-5.73,2.34,19.2,16.94,0.02,455
161914.SZ,创业板2年定开,混合型,混合型-偏股,-7.04,-12.43,6.31,21.87,21.5,0.2,455
506001.SH,万家科创板,混合型,混合型-偏股,-1.91,-4.77,0.96,19.05,14.64,-0.05,455
506003.SH,富国科创板,混合型,混合型-偏股,-1.49,-5.73,2.16,20.33,12.97,0.01,455
506005.SH,科创板博时,混合型,混合型-偏股,1.35,-6.01,8.2,23.66,21.53,0.26,455
