ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points
026382.OF,中航洞见领航A,混合型,混合型-偏股,-2.77,-2.71,-2.69,7.03,3.34,-0.67,35
026383.OF,中航洞见领航C,混合型,混合型-偏股,-2.81,-2.78,-2.78,7.04,3.38,-0.68,35
026531.OF,富国鑫年C,混合型,混合型-偏股,0.06,0.19,0.68,2.08,0.67,-0.63,36
026468.OF,山证资管数字经济锐选A,股票型,主动股票型,-7.07,-12.27,-15.37,21.33,18.05,-0.81,37
026545.OF,中银养老目标日期2050五年持有Y,混合型,混合型-偏股,-3.29,-3.81,0.87,13.5,4.83,-0.08,39
026469.OF,山证资管数字经济锐选C,股票型,主动股票型,-7.11,-12.34,-15.46,21.35,18.1,-0.82,37
026174.OF,路博迈港股通科技C,股票型,主动股票型,-3.53,-4.89,-1.0,24.56,7.46,-0.12,37
026237.OF,广发平衡精选D,混合型,混合型-偏股,1.06,0.64,13.79,27.92,8.43,0.42,44
026235.OF,广发平衡精选A,混合型,混合型-偏股,1.09,0.71,13.87,27.92,8.42,0.42,44
026238.OF,广发平衡精选E,混合型,混合型-偏股,1.02,0.57,13.66,27.92,8.44,0.42,44
026236.OF,广发平衡精选C,混合型,混合型-偏股,1.06,0.64,13.75,27.92,8.43,0.42,44
026272.OF,上银消费机遇C,混合型,混合型-偏股,-8.72,-7.56,-3.35,16.33,10.18,-0.33,36
026271.OF,上银消费机遇A,混合型,混合型-偏股,-8.69,-7.51,-3.28,16.34,10.16,-0.32,36
026283.OF,东方红先锋锐选C,混合型,混合型-偏股,-2.16,-3.21,3.81,18.29,5.94,0.1,39
026282.OF,东方红先锋锐选A,混合型,混合型-偏股,-2.13,-3.15,3.9,18.32,5.94,0.1,39
026173.OF,路博迈港股通科技A,股票型,主动股票型,-3.49,-4.82,-0.89,24.58,7.4,-0.12,37
026285.OF,东方红嘉享C,混合型,混合型-偏股,2.66,4.09,11.46,28.19,8.22,0.34,39
026284.OF,东方红嘉享A,混合型,混合型-偏股,2.7,4.15,11.57,28.18,8.2,0.34,39
025325.OF,富达任远保守养老目标一年持有,混合型,混合型-偏股,-0.21,0.11,0.6,3.57,1.24,-0.39,37
026472.OF,益民创新优势C,混合型,混合型-偏股,-5.44,-7.54,1.95,15.17,8.0,-0.0,46
025987.OF,东海领航精选3个月持有D,混合型,混合型-偏股,-1.48,-1.27,-0.64,4.93,1.62,-0.54,43
025986.OF,东海领航精选3个月持有C,混合型,混合型-偏股,-1.5,-1.32,-0.75,4.93,1.63,-0.56,43
