ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,scale_status,pass_performance,pass_quality,veto,is_core,is_watch,is_backup,fund_scale,high_quality
026382.OF,中航洞见领航A,混合型,混合型-偏股,-2.77,-2.71,-2.69,7.03,3.34,-0.67,35,3425.0,34.38098888463013,4733.0,9.45273631840796,48.2,preferred,True,False,False,False,False,False,22.110596729185033,False
026383.OF,中航洞见领航C,混合型,混合型-偏股,-2.81,-2.78,-2.78,7.04,3.38,-0.68,35,3454.0,33.82522039095439,4747.0,9.184845005740527,48.1,preferred,True,False,False,False,False,False,10.319990490549168,False
026531.OF,富国鑫年C,混合型,混合型-偏股,0.06,0.19,0.68,2.08,0.67,-0.63,36,1515.0,70.98505174396321,3887.0,25.64102564102564,52.0,preferred,False,False,False,False,False,False,26.50216017534904,False
026468.OF,山证资管数字经济锐选A,股票型,主动股票型,-7.07,-12.27,-15.37,21.33,18.05,-0.81,37,560.0,3.287197231833905,576.0,0.519031141868509,40.3,normal,True,False,False,False,False,False,75.76495326069994,False
026545.OF,中银养老目标日期2050五年持有Y,混合型,混合型-偏股,-3.29,-3.81,0.87,13.5,4.83,-0.08,39,3828.0,26.657723265619016,3758.0,28.109452736318406,59.3,preferred,False,False,False,False,False,False,9.198274851515235,False
026469.OF,山证资管数字经济锐选C,股票型,主动股票型,-7.11,-12.34,-15.46,21.35,18.1,-0.82,37,561.0,3.114186851211076,577.0,0.34602076124568,40.1,preferred,True,False,False,False,False,False,9.198456071539324,False
026174.OF,路博迈港股通科技C,股票型,主动股票型,-3.53,-4.89,-1.0,24.56,7.46,-0.12,37,388.0,33.04498269896193,453.0,21.79930795847751,54.8,normal,False,False,False,False,False,False,81.04911902591122,False
026237.OF,广发平衡精选D,混合型,混合型-偏股,1.06,0.64,13.79,27.92,8.43,0.42,44,1167.0,77.65427366807207,435.0,91.6953693073096,71.4,preferred,False,True,False,False,True,False,30.597603074251335,False
026235.OF,广发平衡精选A,混合型,混合型-偏股,1.09,0.71,13.87,27.92,8.42,0.42,44,1140.0,78.17171330011499,428.0,91.82931496364333,71.5,preferred,False,True,False,False,True,False,6.935344560935965,False
026238.OF,广发平衡精选E,混合型,混合型-偏股,1.02,0.57,13.66,27.92,8.44,0.42,44,1198.0,77.06017631276352,452.0,91.3700727133563,71.2,preferred,False,True,False,False,True,False,23.36109547754119,False
026236.OF,广发平衡精选C,混合型,混合型-偏股,1.06,0.64,13.75,27.92,8.43,0.42,44,1166.0,77.67343809888847,440.0,91.5996938384998,71.3,preferred,False,True,False,False,True,False,6.9859344872786515,False
026272.OF,上银消费机遇C,混合型,混合型-偏股,-8.72,-7.56,-3.35,16.33,10.18,-0.33,36,4624.0,11.402836335760824,4798.0,8.208955223880599,52.8,preferred,True,False,False,False,False,False,6.966579064261602,False
026271.OF,上银消费机遇A,混合型,混合型-偏股,-8.69,-7.51,-3.28,16.34,10.16,-0.32,36,4619.0,11.49865848984285,4794.0,8.285495598928438,52.9,preferred,True,False,False,False,False,False,16.286796125297705,False
026283.OF,东方红先锋锐选C,混合型,混合型-偏股,-2.16,-3.21,3.81,18.29,5.94,0.1,39,3645.0,30.16481410502108,2289.0,56.21890547263681,58.6,watch,False,False,False,False,False,False,1.2263762789984674,False
026282.OF,东方红先锋锐选A,混合型,混合型-偏股,-2.13,-3.15,3.9,18.32,5.94,0.1,39,3624.0,30.567267152165577,2253.0,56.90776884806736,58.8,watch,False,False,False,False,False,False,1.5374091061262918,False
026173.OF,路博迈港股通科技A,股票型,主动股票型,-3.49,-4.82,-0.89,24.58,7.4,-0.12,37,382.0,34.083044982698965,451.0,22.14532871972317,54.8,preferred,False,False,False,False,False,False,6.2043767158138365,False
