ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,base_name
010690.OF,万家互联互通核心资产量化策略A,混合型,混合型-偏股,-1.03,-2.92,7.13,14.58,13.51,0.35,455,3514.0,32.6753545419701,1365.0,73.89973210868733,63.1,万家互联互通核心资产量化策略
014162.OF,万家人工智能C,混合型,混合型-偏股,-2.05,-8.55,-3.63,27.21,23.99,-0.21,455,4770.0,8.60482943656573,4815.0,7.8836586299272815,40.0,万家人工智能
019657.OF,万家优选积极三个月持有A,混合型,混合型-偏股,-2.33,-3.48,5.48,15.25,14.69,0.23,440,3723.0,28.669988501341518,1738.0,66.76234213547647,58.0,万家优选积极
025447.OF,万家元晟量化选股A,混合型,混合型-偏股,-0.96,2.06,14.88,15.45,9.1,0.83,183,657.0,87.4281333844385,363.0,93.07309605817068,83.7,万家元晟量化选股
012350.OF,万家元贞量化选股A,股票型,主动股票型,3.35,1.88,11.77,13.97,8.24,0.7,455,109.0,81.31487889273356,106.0,81.83391003460207,78.4,万家元贞量化选股
018184.OF,万家先进制造A,混合型,混合型-偏股,0.74,0.08,17.96,18.13,17.48,0.88,455,1610.0,69.16443081640476,205.0,96.09644087256028,76.5,万家先进制造
012535.OF,万家全球成长一年持有A,混合型,混合型-偏股,-3.82,-14.06,-4.35,20.37,20.17,-0.31,444,5154.0,1.2456880030663142,4892.0,6.41025641025641,45.0,万家全球成长
014694.OF,万家兴恒回报一年持有C,混合型,混合型-偏股,0.15,0.26,1.91,1.72,1.06,-0.05,455,1441.0,72.40321962437716,3115.0,40.41331802525833,65.4,万家兴恒回报
017344.OF,万家养老2035三年Y,混合型,混合型-偏股,-1.51,-1.38,3.23,6.68,6.9,0.18,440,2800.0,46.3587581448831,2508.0,52.028319938767694,57.1,万家养老2035三年
019659.OF,万家养老目标日期2045三年持有,混合型,混合型-偏股,-2.25,-2.64,2.51,8.23,8.3,0.06,440,3384.0,35.16673054810272,2838.0,45.71373899732109,53.7,万家养老目标日期2045
014277.OF,万家北交所慧选两年定开A,混合型,混合型-偏股,3.87,5.18,-18.61,46.91,31.14,-0.44,121,249.0,95.24722115753164,5225.0,0.0382701875239144,26.9,万家北交所慧选两年定开
015610.OF,万家匠心致远一年持有A,混合型,混合型-偏股,-2.15,-2.45,-0.71,17.44,12.92,-0.16,455,3310.0,36.584898428516674,4439.0,15.078453884424036,53.5,万家匠心致远
020491.OF,万家医药量化选股A,混合型,混合型-偏股,-4.3,-7.77,-0.88,15.09,13.66,-0.19,455,4654.0,10.82790341126868,4470.0,14.485265977803296,52.5,万家医药量化选股
