ts_code,name,invest_type,annual_return,volatility,max_drawdown,sharpe,data_points
501227.SH,泓德红利优选LOF,混合型,4.44,6.28,6.94,0.39,315
501201.SH,科创红土LOF,股票型,67.51,27.68,19.71,2.37,498
501312.SH,海外科技LOF,股票型,23.05,21.87,30.08,0.96,488
501225.SH,全球芯片LOF,股票型,37.01,21.81,27.62,1.61,488
501222.SH,如意招享FOF,混合型,4.63,1.2,0.86,2.18,488
501220.SH,行业轮动FOF,股票型,58.55,19.65,19.59,2.88,498
162721.SZ,广发积极FOF-LOF,混合型,36.61,12.76,12.77,2.71,488
501217.SH,行业配置FOF,股票型,29.01,12.37,11.61,2.18,498
161133.SZ,优势回报FOF-LOF,混合型,64.07,17.44,15.39,3.56,488
160326.SZ,优选配置FOF-LOF,股票型,22.1,12.73,14.9,1.58,498
501216.SH,富国行业精选FOF,股票型,24.68,10.6,9.5,2.14,498
501219.SH,智胜先锋LOF,股票型,40.64,12.37,12.79,3.13,498
501211.SH,民生加银优享FOF,混合型,10.37,3.7,3.0,2.26,488
501218.SH,工银睿智进取FOF,股票型,34.05,14.68,13.36,2.18,498
501215.SH,积极配置FOF,混合型,25.21,10.06,10.49,2.31,485
501210.SH,交银智选星光FOF,混合型,44.15,15.54,16.62,2.71,488
501213.SH,中欧汇选FOF,混合型,24.21,10.81,11.04,2.05,486
501212.SH,广发优选配置FOF,混合型,15.65,6.21,4.44,2.2,488
501209.SH,富久食品饮料LOF,混合型,-4.03,11.18,14.72,-0.54,498
506008.SH,科创板长城,混合型,37.72,19.41,16.17,1.84,498
163418.SZ,兴全合兴LOF,混合型,28.61,17.17,19.48,1.55,498
501207.SH,华夏创新未来LOF,混合型,36.83,16.66,17.51,2.09,498
501206.SH,添富创新未来LOF,混合型,42.92,18.11,18.75,2.26,498
501208.SH,中欧创新未来LOF,混合型,39.73,20.65,20.38,1.83,498
501205.SH,鹏华创新未来LOF,混合型,62.38,26.71,28.01,2.26,498
501203.SH,易基创新未来LOF,混合型,74.31,17.57,17.6,4.12,498
162720.SZ,广发创业板定开,混合型,62.77,21.64,19.22,2.81,498
160529.SZ,创业板博时定开,混合型,54.65,16.53,15.63,3.19,498
160143.SZ,创业板定开南方,混合型,50.56,17.46,17.32,2.78,498
161914.SZ,创业板2年定开,混合型,31.92,21.1,21.5,1.42,498
506001.SH,万家科创板,混合型,42.85,17.84,14.64,2.29,498
506003.SH,富国科创板,混合型,44.77,19.86,14.46,2.15,498
506005.SH,科创板博时,混合型,68.94,23.26,22.5,2.88,498
506006.SH,汇添富科创板,混合型,30.98,16.36,20.41,1.77,498
506000.SH,科创板基金,混合型,45.48,19.87,17.39,2.19,498
506002.SH,易方达科创板,混合型,72.28,22.58,22.12,3.11,498
160325.SZ,华夏创业板定开,混合型,58.07,19.12,18.25,2.93,498
501202.SH,华泰紫金创新先锋LOF,混合型,30.36,11.32,14.48,2.5,498
166027.SZ,中欧创业定开,混合型,26.93,13.97,13.89,1.78,498
160926.SZ,创业板定开,混合型,25.47,13.11,14.22,1.79,498
161040.SZ,创业富国定开,混合型,61.0,18.14,18.39,3.25,498
501200.SH,科创加银IOF,混合型,34.11,21.16,19.58,1.52,498
167508.SZ,安信价值发现定开,混合型,13.28,8.88,10.21,1.27,498
501099.SH,平安新兴产业LOF,混合型,106.86,27.44,20.7,3.82,498
501098.SH,科创建信LOF,混合型,42.69,21.64,19.11,1.88,498
501097.SH,科创国寿LOF,混合型,59.34,24.63,22.98,2.33,498
501095.SH,中银证券科技创新LOF,混合型,73.92,27.64,24.75,2.6,498
501093.SH,华夏翔阳LOF,混合型,28.8,14.15,16.79,1.89,498
501092.SH,交银瑞思LOF,混合型,23.86,10.76,11.03,2.03,498
501091.SH,嘉实欣荣LOF,混合型,22.8,12.27,12.01,1.7,498
161837.SZ,银华大盘定开,混合型,5.02,11.27,15.01,0.27,498
166107.SZ,多因子LOF,混合型,37.9,11.74,11.6,3.06,498
501087.SH,交银瑞丰LOF,混合型,10.75,8.56,7.28,1.02,498
501088.SH,嘉实瑞虹,混合型,17.46,7.75,7.46,1.99,498
501079.SH,科创大成LOF,混合型,25.7,19.18,18.64,1.24,498
501081.SH,科创中欧LOF,混合型,56.52,22.29,20.9,2.45,498
501073.SH,华安智联LOF,混合型,46.16,12.46,8.4,3.54,498
166025.SZ,中欧远见定开,混合型,-3.42,10.79,15.47,-0.5,498
161912.SZ,社会责任定开,混合型,64.07,21.72,21.24,2.86,498
