ts_code,name,category,return_1y,return_6m,volatility,max_drawdown,sharpe,quality_score,note
017787.OF,万家宏观择时多策略C,混合型-平衡,17.64,12.33,18.6,13.8,0.84,79.5,【待补充】规模数据待验证
015384.OF,万家瑞隆C,混合型-偏股,18.69,4.74,16.31,17.91,1.02,79.0,【待补充】规模数据待验证
013294.OF,东方红智选三年持有A,混合型-偏股,15.97,9.04,19.69,17.14,0.71,72.7,【待补充】规模数据待验证
013771.OF,中加龙头精选A,混合型-偏股,15.62,1.47,16.46,12.85,0.83,79.7,【待补充】规模数据待验证
024361.OF,中欧红利慧选A,混合型-偏股,15.21,2.74,21.74,8.87,0.61,79.0,【待补充】规模数据待验证
014995.OF,中欧量化先锋A,混合型-偏股,12.89,1.73,13.32,13.71,0.82,76.8,【待补充】规模数据待验证
021665.OF,中银周期优选A,混合型-偏股,25.83,3.53,22.16,19.64,1.08,78.9,【待补充】规模数据待验证
017132.OF,中银新能源产业A,主动股票型,19.12,9.2,21.44,19.05,0.8,72.7,【待补充】规模数据待验证
014838.OF,兴银碳中和主题A,混合型-偏股,13.0,3.25,13.89,12.9,0.79,77.2,【待补充】规模数据待验证
011765.OF,兴银高端制造A,混合型-偏股,16.57,5.47,14.39,16.69,1.01,79.3,【待补充】规模数据待验证
013157.OF,前海开源新经济C,混合型-平衡,15.88,4.41,17.46,17.51,0.79,73.5,【待补充】规模数据待验证
018023.OF,华商上游产业C,主动股票型,18.66,2.38,20.24,14.15,0.82,78.8,【待补充】规模数据待验证
019691.OF,华商产业机遇C,混合型-偏股,13.19,4.01,16.61,15.34,0.67,72.3,【待补充】规模数据待验证
019189.OF,华商品质价值A,混合型-偏股,13.71,8.22,16.79,15.17,0.7,73.4,【待补充】规模数据待验证
016049.OF,华商甄选回报C,混合型-偏股,14.39,8.98,16.16,16.17,0.77,74.1,【待补充】规模数据待验证
016069.OF,华商研究精选C,混合型-平衡,16.68,5.45,17.22,14.5,0.85,78.4,【待补充】规模数据待验证
018973.OF,华商科创板量化选股A,混合型-偏股,14.79,12.19,20.79,16.48,0.62,70.6,【待补充】规模数据待验证
024808.OF,华夏成长动力A,混合型-偏股,13.76,1.43,18.38,15.18,0.64,72.2,【待补充】规模数据待验证
012098.OF,华夏成长机会一年持有,混合型-偏股,21.46,2.54,20.16,19.22,0.97,77.7,【待补充】规模数据待验证
016237.OF,华夏数字经济龙头A,混合型-偏股,25.45,4.35,22.68,19.68,1.03,78.0,【待补充】规模数据待验证
014207.OF,华安产业精选A,混合型-偏股,15.08,1.45,15.79,15.28,0.83,76.6,【待补充】规模数据待验证
013507.OF,华安制造先锋C,混合型-偏股,14.9,7.79,19.67,18.08,0.66,70.2,【待补充】规模数据待验证
016182.OF,华安安进灵活配置C,混合型-平衡,16.9,11.32,23.38,16.59,0.64,70.3,【待补充】规模数据待验证
011238.OF,华安聚恒精选A,混合型-偏股,15.02,5.17,18.36,15.86,0.71,73.5,【待补充】规模数据待验证
020487.OF,华富成长企业精选C,主动股票型,18.31,4.49,18.94,17.09,0.86,76.2,【待补充】规模数据待验证
020383.OF,华富成长趋势C,混合型-偏股,23.66,7.15,21.58,18.7,1.0,78.8,【待补充】规模数据待验证
014189.OF,南方专精特新A,混合型-偏股,15.81,1.2,17.69,15.25,0.78,76.0,【待补充】规模数据待验证
016449.OF,南方新材料A,主动股票型,20.13,3.93,18.32,20.62,0.99,76.0,【待补充】规模数据待验证
015145.OF,同泰新能源优选1年持有A,主动股票型,23.0,2.87,23.69,19.92,0.89,73.8,【待补充】规模数据待验证
013855.OF,嘉实品质发现A,混合型-偏股,14.37,1.92,16.23,12.15,0.76,78.4,【待补充】规模数据待验证
021662.OF,国富亚洲机会C,主动股票型,19.68,4.17,18.68,22.96,0.95,72.8,【待补充】规模数据待验证
021842.OF,国富全球科技互联人民币C,混合型-偏股,14.25,1.45,18.88,15.02,0.65,72.8,【待补充】规模数据待验证
021843.OF,国富全球科技互联美元现汇C,混合型-偏股,16.78,2.95,18.89,15.3,0.78,76.4,【待补充】规模数据待验证
017916.OF,国寿安保成长优选C,主动股票型,24.71,7.52,22.67,23.75,1.0,73.3,【待补充】规模数据待验证
020722.OF,国寿安保数字经济A,主动股票型,28.46,23.42,23.77,22.32,1.11,76.3,【待补充】规模数据待验证
023101.OF,国寿安保智慧生活C,主动股票型,23.22,3.39,19.81,20.55,1.07,78.0,【待补充】规模数据待验证
017941.OF,国投瑞银国家安全C,混合型-平衡,22.21,2.33,22.02,15.85,0.92,79.6,【待补充】规模数据待验证
018698.OF,国投瑞银盛煊A,混合型-偏股,15.52,5.93,14.24,15.78,0.95,78.7,【待补充】规模数据待验证
012174.OF,国泰兴泽优选一年持有期C,混合型-偏股,16.04,1.35,16.0,15.77,0.88,77.6,【待补充】规模数据待验证
018325.OF,国泰海通创新成长A,混合型-偏股,20.03,1.62,23.74,16.03,0.76,74.7,【待补充】规模数据待验证
018351.OF,国泰海通周期精选A,混合型-偏股,12.96,3.14,14.89,11.44,0.74,77.9,【待补充】规模数据待验证
015368.OF,国泰海通领航成长一年持有A,混合型-偏股,21.01,1.27,23.92,15.95,0.79,75.6,【待补充】规模数据待验证
013561.OF,国联匠心优选A,混合型-偏股,19.12,3.35,19.32,16.77,0.89,78.0,【待补充】规模数据待验证
017630.OF,富国周期精选三年持有A,混合型-偏股,13.77,1.33,15.31,14.41,0.77,75.6,【待补充】规模数据待验证
016588.OF,富国融甄A,混合型-偏股,14.64,5.94,18.79,10.08,0.67,79.5,【待补充】规模数据待验证
018714.OF,平安新鑫优选A,混合型-偏股,13.38,10.08,15.09,13.18,0.75,76.3,【待补充】规模数据待验证
017532.OF,平安研究优选A,混合型-偏股,16.4,1.66,17.55,13.67,0.82,78.9,【待补充】规模数据待验证
015904.OF,广发新能源精选A,主动股票型,16.73,5.58,20.61,19.37,0.71,70.0,【待补充】规模数据待验证
011790.OF,建信创新驱动,混合型-偏股,15.62,9.47,20.33,16.22,0.67,72.5,【待补充】规模数据待验证
014653.OF,建信卓越成长一年持有A,混合型-偏股,14.8,8.37,20.16,16.58,0.63,71.0,【待补充】规模数据待验证
018147.OF,建信新兴市场优选C,混合型-偏股,21.54,10.52,22.94,18.52,0.85,74.6,【待补充】规模数据待验证
018229.OF,易方达全球优质企业A,混合型-偏股,13.36,5.03,14.83,11.35,0.77,78.9,【待补充】规模数据待验证
017987.OF,易方达国企主题A,混合型-偏股,14.19,4.93,16.45,11.11,0.74,79.2,【待补充】规模数据待验证
012301.OF,易方达核心智造,混合型-偏股,16.73,5.84,21.72,17.27,0.68,71.4,【待补充】规模数据待验证
019032.OF,易方达环保主题C,混合型-平衡,17.14,9.87,18.72,14.14,0.81,78.3,【待补充】规模数据待验证
018817.OF,景顺长城中小创C,主动股票型,15.59,4.6,18.37,18.76,0.74,70.9,【待补充】规模数据待验证
025442.OF,景顺长城产业优选,混合型-偏股,13.14,6.75,20.77,6.36,0.54,79.0,【待补充】规模数据待验证
018504.OF,景顺长城周期优选A,混合型-偏股,17.72,5.27,19.08,13.8,0.82,79.4,【待补充】规模数据待验证
021512.OF,景顺长城支柱产业C,混合型-偏股,14.8,4.79,16.78,11.7,0.76,79.2,【待补充】规模数据待验证
016560.OF,永赢启源A,混合型-偏股,16.09,1.92,19.36,18.81,0.73,71.5,【待补充】规模数据待验证
011093.OF,永赢宏泽一年定开,混合型-平衡,15.02,2.52,19.31,17.46,0.67,70.8,【待补充】规模数据待验证
014837.OF,汇添富创新活力D,混合型-偏股,13.85,2.86,14.4,18.11,0.82,72.9,【待补充】规模数据待验证
017801.OF,汇添富战略精选中小盘市值3年持有A,混合型-偏股,13.26,2.42,15.8,13.99,0.71,74.6,【待补充】规模数据待验证
017876.OF,汇添富新能源精选A,混合型-偏股,14.79,5.36,19.2,14.46,0.67,74.1,【待补充】规模数据待验证
015182.OF,汇添富逆向投资D,混合型-偏股,14.79,6.48,15.29,12.5,0.84,79.8,【待补充】规模数据待验证
021663.OF,汇百川远航A,混合型-偏股,16.19,2.1,14.11,18.88,1.01,77.0,【待补充】规模数据待验证
014545.OF,浦银安盛兴耀优选一年持有A,混合型-偏股,15.07,10.96,18.8,14.51,0.69,74.6,【待补充】规模数据待验证
011800.OF,申万菱信价值精选A,混合型-偏股,16.01,1.71,18.49,13.9,0.76,77.2,【待补充】规模数据待验证
014498.OF,诺安鸿鑫C,混合型-偏股,17.79,1.44,20.12,14.02,0.78,78.3,【待补充】规模数据待验证
018549.OF,金鹰研究驱动A,混合型-偏股,13.14,2.47,14.51,16.49,0.77,73.1,【待补充】规模数据待验证
014513.OF,金鹰远见优选A,混合型-偏股,18.19,0.93,18.12,15.17,0.89,79.4,【待补充】规模数据待验证
015383.OF,长城久富C,混合型-偏股,20.32,10.19,19.37,17.26,0.95,79.1,【待补充】规模数据待验证
016332.OF,长城产业臻选A,混合型-偏股,18.28,8.94,19.62,18.66,0.83,74.5,【待补充】规模数据待验证
014788.OF,长城产业趋势A,混合型-偏股,18.13,8.86,19.5,18.71,0.83,74.4,【待补充】规模数据待验证
011574.OF,鹏华领航一年持有A,混合型-偏股,15.58,1.09,15.63,14.12,0.87,78.9,【待补充】规模数据待验证
