ts_code,name,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,quality_score,percentile_1y,percentile_6m
015182.OF,汇添富逆向投资D,混合型-偏股,4.59,6.48,14.79,15.29,12.5,0.84,79.8,92.920015308075,96.58873131467996
013771.OF,中加龙头精选A,混合型-偏股,2.77,1.47,15.62,16.46,12.85,0.83,79.7,94.22120168388824,84.30433116136452
017941.OF,国投瑞银国家安全C,混合型-平衡,5.45,2.33,22.21,22.02,15.85,0.92,79.6,97.25158562367864,84.56659619450318
017787.OF,万家宏观择时多策略C,混合型-平衡,5.23,12.33,17.64,18.6,13.8,0.84,79.5,94.71458773784354,99.36575052854124
016588.OF,富国融甄A,混合型-偏股,5.08,5.94,14.64,18.79,10.08,0.67,79.5,92.65212399540758,96.12878497508623
014513.OF,金鹰远见优选A,混合型-偏股,0.08,0.93,18.19,18.12,15.17,0.89,79.4,96.3260619977038,80.16481410502108
018504.OF,景顺长城周期优选A,混合型-偏股,1.03,5.27,17.72,19.08,13.8,0.82,79.4,95.86681974741676,95.32387888079724
011765.OF,兴银高端制造A,混合型-偏股,2.65,5.47,16.57,14.39,16.69,1.01,79.3,95.15882127822424,95.53468761977769
017987.OF,易方达国企主题A,混合型-偏股,4.91,4.93,14.19,16.45,11.11,0.74,79.2,92.19288174512054,94.92142583365272
021512.OF,景顺长城支柱产业C,混合型-偏股,0.76,4.79,14.8,16.78,11.7,0.76,79.2,92.97742058936088,94.53813721732465
015383.OF,长城久富C,混合型-偏股,11.69,10.19,20.32,19.37,17.26,0.95,79.1,97.47416762342137,98.73514756611728
025442.OF,景顺长城产业优选,混合型-偏股,1.87,6.75,13.14,20.77,6.36,0.54,79.0,90.48985840030616,96.87619777692602
024361.OF,中欧红利慧选A,混合型-偏股,1.43,2.74,15.21,21.74,8.87,0.61,79.0,93.76195943360123,90.14948256036796
015384.OF,万家瑞隆C,混合型-偏股,3.9,4.74,18.69,16.31,17.91,1.02,79.0,96.68962877918102,94.46147949405903
018229.OF,易方达全球优质企业A,混合型-偏股,1.96,5.03,13.36,14.83,11.35,0.77,78.9,90.89169536930731,95.1130701418168
017532.OF,平安研究优选A,混合型-偏股,2.07,1.66,16.4,17.55,13.67,0.82,78.9,95.06314580941446,85.45419701034879
021665.OF,中银周期优选A,混合型-偏股,0.46,3.53,25.83,22.16,19.64,1.08,78.9,98.90929965556832,92.21924108853968
011574.OF,鹏华领航一年持有A,混合型-偏股,0.28,1.09,15.58,15.63,14.12,0.87,78.9,94.1446613088404,81.48715983135301
020383.OF,华富成长趋势C,混合型-偏股,3.08,7.15,23.66,21.58,18.7,1.0,78.8,98.3926521239954,97.10617094672288
018023.OF,华商上游产业C,主动股票型,2.05,2.38,18.66,20.24,14.15,0.82,78.8,93.77162629757784,83.21799307958477
