ts_code,name,invest_type,category,fund_scale,scale_status,return_3m,return_6m,return_1y,quality_score,percentile_6m,percentile_1y,stock_ratio_4q_avg,is_core,is_watch,is_backup
026237.OF,广发平衡精选D,混合型,混合型-偏股,30.59760307425133,preferred,1.06,0.64,13.79,71.4,77.65427366807207,91.6953693073096,,False,True,False
026235.OF,广发平衡精选A,混合型,混合型-偏股,6.935344560935965,preferred,1.09,0.71,13.87,71.5,78.17171330011499,91.82931496364333,,False,True,False
026238.OF,广发平衡精选E,混合型,混合型-偏股,23.36109547754119,preferred,1.02,0.57,13.66,71.2,77.06017631276352,91.3700727133563,,False,True,False
026236.OF,广发平衡精选C,混合型,混合型-偏股,6.985934487278652,preferred,1.06,0.64,13.75,71.3,77.67343809888847,91.5996938384998,,False,True,False
026332.OF,广发盛世精选A,混合型,混合型-偏股,5.917724886544682,preferred,-0.24,5.59,14.3,71.4,95.70716749712534,92.3076923076923,,False,True,False
026333.OF,广发盛世精选C,混合型,混合型-偏股,11.98676746751548,preferred,-0.27,5.51,14.17,71.4,95.61134534304333,92.13547646383468,,False,True,False
026420.OF,大摩多因子策略C,混合型,混合型-偏股,1.159971981960528,watch,-0.95,-2.82,9.03,72.6,33.4419317746263,80.27171833141983,,False,True,False
026014.OF,广发新锐智选C,混合型,混合型-偏股,8.405995060599015,preferred,0.06,-0.7,11.15,78.8,54.67612111920276,85.95484117872178,,False,True,False
026290.OF,红土创新科技创新C,股票型,主动股票型,13.523872834969067,preferred,6.03,15.14,17.9,70.0,99.48096885813148,92.73356401384083,,False,True,False
026293.OF,红土创新转型精选C,灵活配置型,混合型-偏股,8.509568016606316,preferred,5.74,14.06,17.41,70.4,99.78858350951374,94.5031712473573,65.72,False,True,False
026101.OF,前海开源康悦稳健养老一年持有Y,混合型,混合型-偏股,1.1217806652557687,watch,0.34,0.79,4.88,71.9,78.88079724032197,63.10753922694221,,False,True,False
025559.OF,光大阳光启明星创新驱动主题C,混合型,混合型-偏股,2.265462029460294,watch,1.73,-0.1,8.22,71.1,65.12073591414335,77.43972445464983,,False,True,False
025560.OF,光大阳光启明星创新驱动主题D,混合型,混合型-偏股,3.711204213653511,watch,1.81,0.03,8.44,71.8,68.1295515523189,78.300803673938,,False,True,False
025558.OF,光大阳光启明星创新驱动主题A,混合型,混合型-偏股,4.041803159142544,watch,1.74,-0.03,8.34,71.4,66.86469911843618,77.80329123612705,,False,True,False
026201.OF,诺安利鑫D,灵活配置型,混合型-平衡,18.462429907969486,preferred,3.01,3.66,16.16,85.5,89.4291754756871,92.60042283298098,40.300000000000004,False,True,False
026153.OF,国泰海通君得明C,混合型,混合型-偏股,32.6704889553069,preferred,1.55,0.39,10.1,73.2,74.51130701418167,83.37160352085725,,False,True,False
026155.OF,红土创新新科技C,股票型,主动股票型,118.646867242705,watch,5.86,16.2,21.1,73.5,99.65397923875432,96.02076124567472,,False,True,False
025319.OF,金元顺安乾丰稳健A,混合型,混合型-偏股,32.8719561902696,preferred,2.49,1.0,5.72,70.5,80.77807589114603,68.1592039800995,,False,True,False
025320.OF,金元顺安乾丰稳健C,混合型,混合型-偏股,25.81100154002453,preferred,2.48,0.97,5.67,70.3,80.50977385971636,67.87217757367011,,False,True,False
025081.OF,前海开源裕泰3个月持有C,混合型,混合型-偏股,34.044842516815685,preferred,-1.19,-1.6,8.33,71.6,44.42315063242621,77.76502104860315,,False,True,False
025080.OF,前海开源裕泰3个月持有A,混合型,混合型-偏股,15.751136052002396,preferred,-1.16,-1.57,8.45,71.8,44.65312380222307,78.33907386146193,,False,True,False
025688.OF,中金阿尔法优选A,混合型,混合型-偏股,3.0908175728735943,watch,0.09,-2.0,10.99,78.4,40.28363357608279,85.45732874091084,,False,True,False
025709.OF,汇添富价值驱动A,混合型,混合型-偏股,18.71536477877181,preferred,1.24,8.25,8.46,73.0,97.93024147182828,78.37734404898585,,False,True,False
025689.OF,中金阿尔法优选C,混合型,混合型-偏股,44.68605533707811,preferred,0.04,-2.07,10.85,78.1,39.82368723648908,85.1894374282434,,False,True,False
025710.OF,汇添富价值驱动C,混合型,混合型-偏股,43.14482424840715,preferred,1.2,8.15,8.3,72.7,97.79609045611345,77.63107539226942,,False,True,False
025776.OF,鹏华启航量化选股,混合型,混合型-偏股,24.16894664882728,preferred,0.42,-1.17,6.34,70.7,48.67765427366807,70.66590126291618,,False,True,False
019437.OF,华商科创创业精选A,混合型,混合型-偏股,8.345119745916065,preferred,-2.94,-4.8,26.85,74.2,21.847451130701423,99.13892078071184,,False,True,False
024673.OF,永赢价值回报C,混合型,混合型-偏股,13.440183217594583,preferred,-0.25,3.21,6.13,70.1,91.31851284016864,69.93876769996173,,False,True,False
025657.OF,国金智远量化选股C,混合型,混合型-偏股,1.2959989255643716,watch,-0.57,2.63,11.74,74.9,89.61287849750863,87.42824339839265,,False,True,False
025486.OF,中邮新锐量化选股A,混合型,混合型-偏股,1.758992064846996,watch,-0.55,2.05,15.04,82.8,87.33231123035645,93.43666283964792,,False,True,False
019438.OF,华商科创创业精选C,混合型,混合型-偏股,13.159395930613178,preferred,-2.97,-4.85,26.7,74.2,21.387504791107705,99.10065059318792,,False,True,False
025487.OF,中邮新锐量化选股C,混合型,混合型-偏股,3.3424573382429954,watch,-0.59,1.99,14.9,82.6,87.02568033729399,93.13050133945656,,False,True,False
025656.OF,国金智远量化选股A,混合型,混合型-偏股,5.163607942849888,preferred,-0.53,2.7,11.93,75.2,89.86201609812188,87.90662074244165,,False,True,False
024672.OF,永赢价值回报A,混合型,混合型-偏股,5.071111589224518,preferred,-0.22,3.29,6.31,70.8,91.45266385588349,70.49368541905856,,False,True,False
025466.OF,百嘉瑞丰量化选股A,混合型,混合型-偏股,26.06785189016441,preferred,0.23,1.56,5.88,77.0,84.87926408585665,69.0585533869116,,False,True,False
025949.OF,诺安研究精选C,股票型,主动股票型,1.0723246865248186,watch,0.78,-8.13,27.16,78.4,18.85813148788928,99.1349480968858,,False,True,False
024866.OF,圆信永丰新材料A,混合型,混合型-偏股,5.506098203455453,preferred,4.81,-0.26,12.63,74.3,61.95860482943656,89.3417527745886,,False,True,False
024330.OF,华夏资源精选A,混合型,混合型-偏股,33.88322322451174,preferred,-1.33,0.43,18.24,73.5,75.18206209275584,96.34519709146576,,False,True,False
024867.OF,圆信永丰新材料C,混合型,混合型-偏股,10.615511390840036,preferred,4.8,-0.26,12.6,74.3,61.84361824453815,89.30348258706468,,False,True,False
024331.OF,华夏资源精选C,混合型,混合型-偏股,22.3311984592434,preferred,-1.51,0.23,17.95,73.1,71.86661556151782,96.07730577879832,,False,True,False
025635.OF,鹏华易选平衡3个月持有C,混合型,混合型-偏股,34.42924102152297,preferred,1.01,1.78,6.43,74.5,86.00996550402454,71.22081898201301,,False,True,False
025634.OF,鹏华易选平衡3个月持有A,混合型,混合型-偏股,2.6830098824582134,watch,1.03,1.83,6.52,74.8,86.23993867382138,71.75660160734787,,False,True,False
025467.OF,百嘉瑞丰量化选股C,混合型,混合型-偏股,36.65076629108787,preferred,0.2,1.49,5.75,76.4,84.41931774626293,68.3505549177191,,False,True,False
025793.OF,东方阿尔法科技甄选C,混合型,混合型-偏股,55.71744976022224,normal,17.32,15.22,32.88,78.5,99.42506707550784,99.69383849980863,,False,True,False
025792.OF,东方阿尔法科技甄选A,混合型,混合型-偏股,5.211129574847594,preferred,17.38,15.3,32.99,78.5,99.44423150632429,99.7129735935706,,False,True,False
024362.OF,中欧红利慧选C,混合型,混合型-偏股,30.86308668453881,preferred,1.38,2.66,15.06,78.6,89.80452280567268,93.53233830845772,,False,True,False
024361.OF,中欧红利慧选A,混合型,混合型-偏股,4.005560152780616,watch,1.43,2.74,15.21,79.0,90.14948256036796,93.76195943360123,,False,True,False
025886.OF,鹏华新兴产业C,混合型,混合型-偏股,11.342645640561638,preferred,-0.09,-0.27,9.65,73.1,61.72863165963971,81.99387676999618,,False,True,False
025599.OF,国泰海通新锐量化选股C,混合型,混合型-偏股,3.563470146686653,watch,-0.08,-2.11,11.7,74.9,39.4787274817938,87.25602755453502,,False,True,False
025327.OF,银华嘉瑞平衡C,混合型,混合型-偏股,2.7255225784625328,watch,4.37,6.65,12.91,86.9,96.7612111920276,90.088021431305,,False,True,False
025326.OF,银华嘉瑞平衡A,混合型,混合型-偏股,86.39186918425303,normal,4.4,6.71,13.09,87.4,96.8378689152932,90.35591274397244,,False,True,False
025650.OF,平安资源精选A,混合型,混合型-偏股,56.44111458595222,normal,3.59,4.05,28.49,81.9,93.44576466078958,99.44508228090318,,False,True,False
025651.OF,平安资源精选C,混合型,混合型-偏股,5.99013729997872,preferred,3.53,3.96,28.31,81.9,93.25412035262552,99.42594718714122,,False,True,False
025645.OF,广发量化多因子C,灵活配置型,混合型-平衡,45.53732058487787,preferred,-1.02,-3.05,8.66,73.6,29.80972515856237,74.20718816067652,8.03,False,True,False
025542.OF,华夏行业景气C,混合型,混合型-偏股,17.975318508659765,preferred,2.05,2.76,16.61,85.6,90.26446914526636,95.1970914657482,,False,True,False
025066.OF,平安研究驱动C,混合型,混合型-偏股,13.686297611614478,preferred,2.31,1.22,17.34,79.4,82.34955921809122,95.67546880979717,,False,True,False
025065.OF,平安研究驱动A,混合型,混合型-偏股,24.883089358602053,preferred,2.36,1.3,17.51,79.6,83.0586431582982,95.77114427860695,,False,True,False
025543.OF,华夏价值精选C,混合型,混合型-偏股,4.563706763840286,watch,0.01,-0.07,8.17,74.5,65.92564200843235,77.24837351703023,,False,True,False
025012.OF,财通华裕量化选股C,股票型,主动股票型,150.03441945733732,watch,-0.31,-2.33,8.19,71.1,51.03806228373702,65.57093425605535,,False,True,False
025011.OF,财通华裕量化选股A,股票型,主动股票型,3.642896628332265,watch,-0.29,-2.29,8.27,71.2,51.384083044982695,65.91695501730104,,False,True,False
025442.OF,景顺长城产业优选,混合型,混合型-偏股,12.00476762038949,preferred,1.87,6.75,13.14,79.0,96.87619777692602,90.48985840030616,,False,True,False
024476.OF,南华科技创新A,混合型,混合型-偏股,16.320543534481683,preferred,4.48,4.6,7.69,71.2,94.365657339977,75.947187141217,,False,True,False
024477.OF,南华科技创新C,混合型,混合型-偏股,16.34561859075218,preferred,4.45,4.53,7.59,70.8,94.2889996167114,75.58362035973975,,False,True,False
025412.OF,安信红利量化选股C,股票型,主动股票型,11.907644043801762,preferred,1.79,4.86,7.92,74.3,93.59861591695504,64.70588235294117,,False,True,False
025411.OF,安信红利量化选股A,股票型,主动股票型,3.6581763654519377,watch,1.82,4.9,7.94,74.3,93.77162629757784,64.87889273356402,,False,True,False
025429.OF,东方红研究精选C,混合型,混合型-偏股,8.615902583244813,preferred,6.39,3.8,12.09,83.9,93.00498275201228,88.3467278989667,,False,True,False
025069.OF,景顺长城高端装备,股票型,主动股票型,4.514628344417604,watch,1.92,-3.84,26.93,77.4,38.754325259515575,98.96193771626297,,False,True,False
025428.OF,东方红研究精选A,混合型,混合型-偏股,22.719323482004597,preferred,6.43,3.86,12.21,84.1,93.1008049060943,88.67202449292002,,False,True,False
025356.OF,东海启恒C,混合型,混合型-偏股,76.65284302308987,normal,1.03,1.44,5.06,72.2,84.05519356075123,64.12169919632606,,False,True,False
025408.OF,兴华景明A,混合型,混合型-偏股,10.691914716405082,preferred,0.35,1.1,8.73,79.6,81.52548869298582,79.23842326827402,,False,True,False
025355.OF,东海启恒A,混合型,混合型-偏股,19.728298291523608,preferred,1.05,1.47,5.12,72.7,84.2851667305481,64.40872560275545,,False,True,False
025409.OF,兴华景明C,混合型,混合型-偏股,7.527292638020503,preferred,0.33,1.05,8.64,79.2,81.0655423533921,78.98966704936853,,False,True,False
025231.OF,中信建投价值增长A,混合型,混合型-偏股,4.818141435336824,watch,2.05,0.79,7.73,74.0,78.86163280950555,76.08113279755071,,False,True,False
025232.OF,中信建投价值增长C,混合型,混合型-偏股,22.14469466948857,preferred,2.01,0.7,7.6,73.5,78.13338443848218,75.60275545350173,,False,True,False
023840.OF,银华甄选价值回报C,混合型,混合型-偏股,69.50316765862489,normal,1.7,2.04,11.61,75.3,87.31314679954005,87.06467661691542,,False,True,False
023839.OF,银华甄选价值回报A,混合型,混合型-偏股,4.8509905661300605,watch,1.71,2.08,11.7,75.4,87.56228440015332,87.27516264829698,,False,True,False
025556.OF,博时裕益灵活配置C,灵活配置型,混合型-偏股,115.74679540059358,watch,-0.55,0.95,6.92,70.2,75.05285412262157,66.8076109936575,78.935,False,True,False
024421.OF,华夏信选A,混合型,混合型-偏股,12.259393257239257,preferred,0.37,-0.92,10.86,71.9,51.70563434266002,85.20857252200535,,False,True,False
024422.OF,华夏信选C,混合型,混合型-偏股,3.383313263192923,watch,0.33,-0.98,10.73,71.6,50.95822154082023,84.94068120933792,,False,True,False
025422.OF,浦银安盛数字经济C,混合型,混合型-偏股,56.44192233926725,normal,1.95,19.22,19.45,70.3,99.77002683020314,96.95752009184844,,False,True,False
025421.OF,浦银安盛数字经济A,混合型,混合型-偏股,18.15192860647234,preferred,2.13,19.46,19.72,70.6,99.80835569183594,97.12973593570608,,False,True,False
