ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,quarter,fund_code
011686.OF,20240328,20231231,002436.SZ,1473.0,100.0,0.0,0.0,2024Q1,011686.OF
011686.OF,20240328,20231231,002149.SZ,1572.0,100.0,0.01,0.0,2024Q1,011686.OF
011686.OF,20240328,20231231,300696.SZ,2089.2,120.0,0.01,0.0,2024Q1,011686.OF
011686.OF,20240328,20231231,603678.SH,2647.0,100.0,0.01,0.0,2024Q1,011686.OF
011686.OF,20240328,20231231,688311.SH,4386.86,86.0,0.01,0.0,2024Q1,011686.OF
011686.OF,20240328,20231231,603809.SH,5142.9,434.0,0.02,0.0,2024Q1,011686.OF
011686.OF,20240328,20231231,600764.SH,7485.0,300.0,0.02,0.0,2024Q1,011686.OF
011686.OF,20240328,20231231,688066.SH,8405.76,199.0,0.03,0.0,2024Q1,011686.OF
011686.OF,20240328,20231231,600562.SH,9688.0,700.0,0.03,0.0,2024Q1,011686.OF
011686.OF,20240328,20231231,002465.SZ,14135.0,1100.0,0.05,0.0,2024Q1,011686.OF
011686.OF,20240328,20231231,002651.SZ,115564.0,16700.0,0.37,0.0,2024Q1,011686.OF
011686.OF,20240328,20231231,300101.SZ,967992.0,42400.0,3.13,0.01,2024Q1,011686.OF
011686.OF,20240328,20231231,002683.SZ,1152592.0,57400.0,3.73,0.01,2024Q1,011686.OF
011686.OF,20240119,20231231,300445.SZ,2348378.76,134732.0,7.6,0.1,2024Q1,011686.OF
011686.OF,20240119,20231231,002414.SZ,3513650.6,481322.0,11.37,0.01,2024Q1,011686.OF
011686.OF,20240119,20231231,002111.SZ,3150524.4,347740.0,10.2,0.07,2024Q1,011686.OF
011686.OF,20240119,20231231,688510.SH,1453086.16,82468.0,4.7,0.03,2024Q1,011686.OF
011686.OF,20240119,20231231,600967.SH,2597274.4,314440.0,8.41,0.02,2024Q1,011686.OF
011686.OF,20240119,20231231,002985.SZ,3692726.4,106480.0,11.95,0.05,2024Q1,011686.OF
011686.OF,20240119,20231231,000708.SZ,3594240.0,256000.0,11.63,0.01,2024Q1,011686.OF
011686.OF,20240119,20231231,000576.SZ,2404050.0,258500.0,7.78,0.06,2024Q1,011686.OF
011686.OF,20240119,20231231,000547.SZ,3236679.0,386700.0,10.48,0.02,2024Q1,011686.OF
011686.OF,20240119,20231231,000534.SZ,2611703.71,199519.0,8.45,0.04,2024Q1,011686.OF
