ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
020106.OF,20260122,20251231,300750.SZ,16158338.22,43997.0,3.62,0.0
020106.OF,20260122,20251231,002966.SZ,18839025.0,2272500.0,4.22,0.05
020106.OF,20260122,20251231,300498.SZ,20964960.0,1242000.0,4.7,0.02
020106.OF,20260122,20251231,002714.SZ,12437622.0,245900.0,2.79,0.01
020106.OF,20260122,20251231,601009.SH,13203593.1,1155170.0,2.96,0.01
020106.OF,20260122,20251231,688041.SH,13075473.06,58266.0,2.93,0.0
020106.OF,20260122,20251231,688981.SH,13612511.92,110824.0,3.05,0.01
020106.OF,20260122,20251231,601665.SH,12764612.0,2223800.0,2.86,0.04
020106.OF,20260122,20251231,600030.SH,12204621.0,425100.0,2.73,0.0
020106.OF,20260122,20251231,600893.SH,13022239.36,325312.0,2.92,0.01
020106.OF,20251028,20250930,300750.SZ,16802394.0,41797.0,5.29,0.0
020106.OF,20251028,20250930,688111.SH,12565366.5,39701.0,3.95,0.01
020106.OF,20251028,20250930,002966.SZ,11063328.0,1355800.0,3.48,0.03
020106.OF,20251028,20250930,300498.SZ,11510285.0,618500.0,3.62,0.01
020106.OF,20251028,20250930,002475.SZ,12737266.93,196897.0,4.01,0.0
020106.OF,20251028,20250930,002371.SZ,10542249.8,23305.0,3.32,0.0
020106.OF,20251028,20250930,688041.SH,12344814.6,48871.0,3.88,0.0
020106.OF,20251028,20250930,688981.SH,17400782.88,124176.0,5.47,0.01
020106.OF,20251028,20250930,600030.SH,14683890.0,491100.0,4.62,0.0
020106.OF,20251028,20250930,600893.SH,14556824.16,345112.0,4.58,0.01
020106.OF,20250829,20250630,601111.SH,545988.0,69200.0,0.17,0.0
020106.OF,20250829,20250630,002487.SZ,549430.0,16700.0,0.17,0.0
020106.OF,20250829,20250630,600276.SH,550140.0,10600.0,0.17,0.0
020106.OF,20250829,20250630,688266.SH,615387.24,5724.0,0.19,0.0
020106.OF,20250829,20250630,600115.SH,626665.0,155500.0,0.2,0.0
020106.OF,20250829,20250630,688301.SH,635873.38,7258.0,0.2,0.0
020106.OF,20250829,20250630,300014.SZ,682569.0,14900.0,0.22,0.0
020106.OF,20250829,20250630,300662.SZ,900213.0,30300.0,0.29,0.02
020106.OF,20250829,20250630,600031.SH,910065.0,50700.0,0.29,0.0
020106.OF,20250829,20250630,002130.SZ,969474.0,40700.0,0.31,0.0
020106.OF,20250829,20250630,600895.SH,971460.0,37800.0,0.31,0.0
020106.OF,20250829,20250630,000831.SZ,1058316.0,29300.0,0.34,0.0
020106.OF,20250829,20250630,688256.SH,1093527.0,1818.0,0.35,0.0
020106.OF,20250829,20250630,300433.SZ,1168520.0,52400.0,0.37,0.0
020106.OF,20250829,20250630,688206.SH,1243257.24,42753.0,0.39,0.01
020106.OF,20250829,20250630,300979.SZ,1282708.0,24400.0,0.41,0.0
020106.OF,20250829,20250630,300454.SZ,1327938.0,14100.0,0.42,0.01
020106.OF,20250829,20250630,600050.SH,1356894.0,254100.0,0.43,0.0
020106.OF,20250829,20250630,688332.SH,1417143.84,13748.0,0.45,0.03
020106.OF,20250829,20250630,600926.SH,1444838.0,85900.0,0.46,0.0
020106.OF,20250829,20250630,300699.SZ,1463154.0,46200.0,0.46,0.01
020106.OF,20250829,20250630,001979.SZ,1479499.0,168700.0,0.47,0.0
020106.OF,20250829,20250630,002916.SZ,1491012.3,13830.0,0.47,0.0
020106.OF,20250829,20250630,300015.SZ,1547520.0,124000.0,0.49,0.0
020106.OF,20250829,20250630,300395.SZ,1553440.0,30400.0,0.49,0.01
020106.OF,20250829,20250630,300408.SZ,1616560.0,48400.0,0.51,0.0
020106.OF,20250829,20250630,300442.SZ,1624584.0,32800.0,0.51,0.01
020106.OF,20250829,20250630,688235.SH,1639451.88,7017.0,0.52,0.01
020106.OF,20250829,20250630,300378.SZ,1657980.0,45300.0,0.53,0.02
020106.OF,20250829,20250630,601989.SH,2202144.0,474600.0,0.7,0.0
020106.OF,20250829,20250630,601689.SH,2400300.0,50800.0,0.76,0.0
020106.OF,20250829,20250630,002126.SZ,2408576.0,99200.0,0.76,0.01
020106.OF,20250829,20250630,688347.SH,2435917.42,44362.0,0.77,0.01
020106.OF,20250829,20250630,688111.SH,2498606.1,8922.0,0.79,0.0
020106.OF,20250829,20250630,002050.SZ,2540394.0,96300.0,0.8,0.0
020106.OF,20250829,20250630,600941.SH,2622415.0,23300.0,0.83,0.0
020106.OF,20250829,20250630,688778.SH,2656759.2,47510.0,0.84,0.01
020106.OF,20250829,20250630,002273.SZ,2739884.0,137200.0,0.87,0.01
020106.OF,20250829,20250630,601336.SH,2913300.0,49800.0,0.92,0.0
020106.OF,20250829,20250630,601869.SH,2931840.0,72000.0,0.93,0.02
020106.OF,20250829,20250630,002444.SZ,3061200.0,120000.0,0.97,0.01
020106.OF,20250829,20250630,688484.SH,3071255.25,77655.0,0.97,0.03
020106.OF,20250829,20250630,688195.SH,3102255.0,68939.0,0.98,0.05
020106.OF,20250829,20250630,603486.SH,3115305.0,53500.0,0.99,0.01
020106.OF,20250829,20250630,002938.SZ,3219015.0,100500.0,1.02,0.0
020106.OF,20250829,20250630,002371.SZ,3228133.0,7300.0,1.02,0.0
020106.OF,20250829,20250630,300059.SZ,3504195.0,151500.0,1.11,0.0
020106.OF,20250829,20250630,600547.SH,3541037.0,110900.0,1.12,0.0
020106.OF,20250829,20250630,603019.SH,3576320.0,50800.0,1.13,0.0
020106.OF,20250829,20250630,688002.SH,3616515.84,51872.0,1.15,0.01
020106.OF,20250829,20250630,688627.SH,3631996.68,41268.0,1.15,0.06
020106.OF,20250829,20250630,601100.SH,3744000.0,52000.0,1.19,0.0
020106.OF,20250829,20250630,002241.SZ,3854796.0,165300.0,1.22,0.01
020106.OF,20250829,20250630,002463.SZ,3955682.0,92900.0,1.25,0.0
020106.OF,20250829,20250630,601899.SH,3974100.0,203800.0,1.26,0.0
020106.OF,20250829,20250630,688116.SH,4141818.84,90492.0,1.31,0.03
020106.OF,20250829,20250630,002156.SZ,4142754.0,161700.0,1.31,0.01
020106.OF,20250829,20250630,603296.SH,4284108.0,53100.0,1.36,0.01
020106.OF,20250829,20250630,688037.SH,4353928.0,40615.0,1.38,0.02
020106.OF,20250829,20250630,601601.SH,4354911.0,116100.0,1.38,0.0
020106.OF,20250829,20250630,300416.SZ,5398111.0,376700.0,1.71,0.07
020106.OF,20250829,20250630,002410.SZ,5498100.0,410000.0,1.74,0.03
020106.OF,20250829,20250630,002049.SZ,5584928.0,84800.0,1.77,0.01
020106.OF,20250829,20250630,603986.SH,5719156.0,45200.0,1.81,0.01
020106.OF,20250829,20250630,300394.SZ,5737302.4,71860.0,1.82,0.01
020106.OF,20250829,20250630,002714.SZ,5746968.0,136800.0,1.82,0.0
020106.OF,20250829,20250630,002142.SZ,5980896.0,218600.0,1.89,0.0
020106.OF,20250829,20250630,300570.SZ,6361080.0,66000.0,2.01,0.03
020106.OF,20250829,20250630,002966.SZ,6363744.0,724800.0,2.02,0.02
020106.OF,20250829,20250630,002352.SZ,6368056.0,130600.0,2.02,0.0
020106.OF,20250829,20250630,688012.SH,6677102.1,36627.0,2.11,0.01
020106.OF,20250829,20250630,601995.SH,6683040.0,189000.0,2.12,0.01
020106.OF,20250829,20250630,601318.SH,6885068.0,124100.0,2.18,0.0
020106.OF,20250829,20250630,600166.SH,271.0,100.0,0.0,0.0
020106.OF,20250829,20250630,603120.SH,2172.95,65.0,0.0,0.0
020106.OF,20250829,20250630,001335.SZ,2244.0,80.0,0.0,0.0
020106.OF,20250829,20250630,603382.SH,2350.95,105.0,0.0,0.0
020106.OF,20250829,20250630,603400.SH,2497.17,57.0,0.0,0.0
020106.OF,20250829,20250630,603257.SH,2922.66,78.0,0.0,0.0
020106.OF,20250829,20250630,600900.SH,3014.0,100.0,0.0,0.0
020106.OF,20250829,20250630,001390.SZ,3225.36,178.0,0.0,0.0
020106.OF,20250829,20250630,603271.SH,3367.68,96.0,0.0,0.0
020106.OF,20250829,20250630,001395.SZ,3780.0,80.0,0.0,0.0
020106.OF,20250829,20250630,603124.SH,4075.28,88.0,0.0,0.0
020106.OF,20250829,20250630,603210.SH,4464.46,286.0,0.0,0.0
020106.OF,20250829,20250630,603202.SH,4804.98,53.0,0.0,0.0
020106.OF,20250829,20250630,603737.SH,5159.0,140.0,0.0,0.0
020106.OF,20250829,20250630,301560.SZ,5215.5,190.0,0.0,0.0
020106.OF,20250829,20250630,603014.SH,5359.52,164.0,0.0,0.0
020106.OF,20250829,20250630,301595.SZ,5703.6,196.0,0.0,0.0
020106.OF,20250829,20250630,301636.SZ,6074.88,128.0,0.0,0.0
020106.OF,20250829,20250630,603049.SH,6341.8,148.0,0.0,0.0
020106.OF,20250829,20250630,001382.SZ,7396.86,366.0,0.0,0.0
020106.OF,20250829,20250630,301173.SZ,7781.54,173.0,0.0,0.0
020106.OF,20250829,20250630,688755.SH,7983.99,203.0,0.0,0.0
020106.OF,20250829,20250630,603899.SH,8697.0,300.0,0.0,0.0
020106.OF,20250829,20250630,301665.SZ,8799.27,393.0,0.0,0.0
020106.OF,20250829,20250630,300203.SZ,8852.0,400.0,0.0,0.0
020106.OF,20250829,20250630,001356.SZ,9241.6,640.0,0.0,0.0
020106.OF,20250829,20250630,301501.SZ,9315.32,206.0,0.0,0.0
020106.OF,20250829,20250630,301590.SZ,10182.04,73.0,0.0,0.0
020106.OF,20250829,20250630,603072.SH,10563.3,194.0,0.0,0.0
020106.OF,20250829,20250630,301601.SZ,11576.7,342.0,0.0,0.0
020106.OF,20250829,20250630,301662.SZ,11797.5,143.0,0.0,0.0
020106.OF,20250829,20250630,301275.SZ,12080.85,215.0,0.0,0.0
020106.OF,20250829,20250630,603848.SH,12320.0,800.0,0.0,0.0
020106.OF,20250829,20250630,603501.SH,12765.0,100.0,0.0,0.0
020106.OF,20250829,20250630,301535.SZ,13938.66,734.0,0.0,0.0
020106.OF,20250829,20250630,301479.SZ,14172.34,182.0,0.0,0.0
020106.OF,20250829,20250630,001388.SZ,15385.54,937.0,0.0,0.0
020106.OF,20250829,20250630,301602.SZ,16318.4,658.0,0.01,0.0
020106.OF,20250829,20250630,301678.SZ,17014.28,382.0,0.01,0.0
020106.OF,20250829,20250630,688583.SH,18087.36,227.0,0.01,0.0
020106.OF,20250829,20250630,688262.SH,18242.28,684.0,0.01,0.0
020106.OF,20250829,20250630,688545.SH,18757.2,696.0,0.01,0.0
020106.OF,20250829,20250630,002436.SZ,21184.0,1600.0,0.01,0.0
020106.OF,20250829,20250630,601728.SH,22475.0,2900.0,0.01,0.0
020106.OF,20250829,20250630,600129.SH,23441.0,1100.0,0.01,0.0
020106.OF,20250829,20250630,688775.SH,30170.88,243.0,0.01,0.0
020106.OF,20250829,20250630,688169.SH,30683.8,196.0,0.01,0.0
020106.OF,20250829,20250630,688411.SH,33813.45,405.0,0.01,0.0
020106.OF,20250829,20250630,300674.SZ,51493.0,1700.0,0.02,0.0
020106.OF,20250829,20250630,002594.SZ,66382.0,200.0,0.02,0.0
020106.OF,20250829,20250630,601117.SH,67496.0,8800.0,0.02,0.0
020106.OF,20250829,20250630,002027.SZ,67890.0,9300.0,0.02,0.0
020106.OF,20250829,20250630,002821.SZ,88250.0,1000.0,0.03,0.0
020106.OF,20250829,20250630,600760.SH,123102.0,2100.0,0.04,0.0
020106.OF,20250829,20250630,300144.SZ,202635.0,23700.0,0.06,0.0
020106.OF,20250829,20250630,601600.SH,228800.0,32500.0,0.07,0.0
020106.OF,20250829,20250630,002025.SZ,277614.0,5400.0,0.09,0.0
020106.OF,20250829,20250630,600887.SH,281588.0,10100.0,0.09,0.0
020106.OF,20250829,20250630,300413.SZ,349120.0,16000.0,0.11,0.0
020106.OF,20250829,20250630,002851.SZ,521456.0,10400.0,0.17,0.0
020106.OF,20250721,20250630,300750.SZ,12257135.34,48597.0,3.88,0.0
020106.OF,20250721,20250630,300661.SZ,8694559.6,119480.0,2.75,0.02
020106.OF,20250721,20250630,300498.SZ,7634760.0,447000.0,2.42,0.01
020106.OF,20250721,20250630,300308.SZ,10005996.0,68600.0,3.17,0.01
020106.OF,20250721,20250630,002475.SZ,8072363.0,232700.0,2.56,0.0
020106.OF,20250721,20250630,601688.SH,8295898.0,465800.0,2.63,0.01
020106.OF,20250721,20250630,688041.SH,10766015.42,76198.0,3.41,0.01
020106.OF,20250721,20250630,688981.SH,12449339.49,141197.0,3.94,0.01
020106.OF,20250721,20250630,600030.SH,13376366.0,484300.0,4.24,0.0
020106.OF,20250721,20250630,600893.SH,7156878.0,185700.0,2.27,0.01
020106.OF,20250422,20250331,300014.SZ,6048924.0,128400.0,2.6,0.01
020106.OF,20250422,20250331,002714.SZ,6181308.0,159600.0,2.66,0.0
020106.OF,20250422,20250331,300661.SZ,6448514.0,73900.0,2.77,0.02
020106.OF,20250422,20250331,600031.SH,6502870.0,341000.0,2.8,0.0
020106.OF,20250422,20250331,300750.SZ,6575681.18,25997.0,2.83,0.0
020106.OF,20250422,20250331,002475.SZ,6926766.0,169400.0,2.98,0.0
020106.OF,20250422,20250331,300548.SZ,7107870.0,181000.0,3.06,0.07
020106.OF,20250422,20250331,300498.SZ,9105154.0,546200.0,3.91,0.01
020106.OF,20250422,20250331,601111.SH,9327912.0,1310100.0,4.01,0.01
020106.OF,20250422,20250331,002410.SZ,9945936.0,686400.0,4.28,0.04
020106.OF,20250328,20241231,002294.SZ,878412.0,28400.0,0.46,0.0
