ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,quarter,fund_code
015449.OF,20231025,20230930,300454.SZ,1399650.0,15000.0,5.78,0.01,2024Q1,015449.OF
015449.OF,20231025,20230930,002920.SZ,861840.0,6000.0,3.56,0.0,2024Q1,015449.OF
015449.OF,20231025,20230930,002847.SZ,817960.0,11000.0,3.38,0.01,2024Q1,015449.OF
015449.OF,20231025,20230930,300298.SZ,3207500.0,125000.0,13.24,0.03,2024Q1,015449.OF
015449.OF,20231025,20230930,600941.SH,774560.0,8000.0,3.2,0.0,2024Q1,015449.OF
015449.OF,20231025,20230930,300969.SZ,767700.0,10000.0,3.17,0.05,2024Q1,015449.OF
015449.OF,20231025,20230930,688369.SH,1281900.0,30000.0,5.29,0.03,2024Q1,015449.OF
015449.OF,20231025,20230930,0700.HK,927870.75,3400.0,3.83,,2024Q1,015449.OF
015449.OF,20231025,20230930,0291.HK,996087.37,26000.0,4.11,,2024Q1,015449.OF
015449.OF,20231025,20230930,600760.SH,857000.0,20000.0,3.54,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,002603.SZ,513800.0,20000.0,2.21,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,603369.SH,528000.0,10000.0,2.27,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,300502.SZ,543760.0,8000.0,2.34,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,600941.SH,559800.0,6000.0,2.41,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,300604.SZ,569880.0,12000.0,2.45,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,600566.SH,580800.0,20000.0,2.5,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,000999.SZ,606600.0,10000.0,2.61,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,002920.SZ,623240.0,4000.0,2.68,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,601360.SH,627000.0,50000.0,2.7,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,300737.SZ,641200.0,70000.0,2.76,0.01,2024Q1,015449.OF
015449.OF,20230831,20230630,001979.SZ,651500.0,50000.0,2.81,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,601728.SH,675600.0,120000.0,2.91,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,603199.SH,345500.0,10000.0,1.49,0.01,2024Q1,015449.OF
015449.OF,20230831,20230630,300212.SZ,398760.0,12000.0,1.72,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,603737.SH,457940.0,7000.0,1.97,0.0,2024Q1,015449.OF
015449.OF,20230831,20230630,000888.SZ,458400.0,40000.0,1.97,0.01,2024Q1,015449.OF
015449.OF,20230831,20230630,002230.SZ,475720.0,7000.0,2.05,0.0,2024Q1,015449.OF
015449.OF,20230721,20230630,300454.SZ,1698750.0,15000.0,7.32,0.01,2024Q1,015449.OF
015449.OF,20230721,20230630,002847.SZ,935550.0,11000.0,4.03,0.01,2024Q1,015449.OF
015449.OF,20230721,20230630,300298.SZ,3380000.0,125000.0,14.56,0.03,2024Q1,015449.OF
015449.OF,20230721,20230630,300170.SZ,692400.0,60000.0,2.98,0.01,2024Q1,015449.OF
015449.OF,20230721,20230630,601390.SH,758000.0,100000.0,3.26,0.0,2024Q1,015449.OF
015449.OF,20230721,20230630,688369.SH,1935500.0,35000.0,8.34,0.03,2024Q1,015449.OF
015449.OF,20230721,20230630,2273.HK,1374672.18,30000.0,5.92,,2024Q1,015449.OF
015449.OF,20230721,20230630,0700.HK,1039477.13,3400.0,4.48,,2024Q1,015449.OF
015449.OF,20230721,20230630,0291.HK,1236928.37,26000.0,5.33,,2024Q1,015449.OF
015449.OF,20230721,20230630,000063.SZ,910800.0,20000.0,3.92,0.0,2024Q1,015449.OF
015449.OF,20230421,20230331,000858.SZ,985000.0,5000.0,3.84,0.0,2024Q1,015449.OF
015449.OF,20230421,20230331,0700.HK,1148292.81,3400.0,4.48,,2024Q1,015449.OF
015449.OF,20230421,20230331,601360.SH,1221500.0,70000.0,4.77,0.0,2024Q1,015449.OF
015449.OF,20230421,20230331,600988.SH,1270500.0,70000.0,4.96,0.0,2024Q1,015449.OF
015449.OF,20230421,20230331,600566.SH,1424000.0,50000.0,5.56,0.01,2024Q1,015449.OF
015449.OF,20230421,20230331,0291.HK,1433921.58,26000.0,5.6,,2024Q1,015449.OF
015449.OF,20230421,20230331,300454.SZ,1775520.0,12000.0,6.93,0.0,2024Q1,015449.OF
015449.OF,20230421,20230331,688369.SH,1932800.0,20000.0,7.54,0.03,2024Q1,015449.OF
015449.OF,20230421,20230331,2273.HK,2617747.28,52600.0,10.22,,2024Q1,015449.OF
015449.OF,20230421,20230331,300298.SZ,3861600.0,120000.0,15.07,0.03,2024Q1,015449.OF
015449.OF,20230330,20221231,600325.SH,362400.0,40000.0,1.62,0.0,2024Q1,015449.OF
015449.OF,20230330,20221231,300775.SZ,380000.0,10000.0,1.7,0.0,2024Q1,015449.OF
015449.OF,20230330,20221231,603678.SH,409400.0,10000.0,1.83,0.0,2024Q1,015449.OF
015449.OF,20230330,20221231,001979.SZ,505200.0,40000.0,2.26,0.0,2024Q1,015449.OF
015449.OF,20230330,20221231,000799.SZ,551760.0,4000.0,2.47,0.0,2024Q1,015449.OF
015449.OF,20230330,20221231,603477.SH,609750.0,25000.0,2.73,0.01,2024Q1,015449.OF
015449.OF,20230330,20221231,3690.HK,639822.5,4100.0,2.86,,2024Q1,015449.OF
015449.OF,20230330,20221231,002049.SZ,659100.0,5000.0,2.95,0.0,2024Q1,015449.OF
015449.OF,20230330,20221231,688687.SH,682500.0,30000.0,3.06,0.03,2024Q1,015449.OF
015449.OF,20230330,20221231,300274.SZ,782600.0,7000.0,3.5,0.0,2024Q1,015449.OF
015449.OF,20230330,20221231,300751.SZ,823680.0,2000.0,3.69,0.0,2024Q1,015449.OF
015449.OF,20230120,20221231,601318.SH,940000.0,20000.0,4.21,0.0,2024Q1,015449.OF
015449.OF,20230120,20221231,0700.HK,954726.98,3200.0,4.27,,2024Q1,015449.OF
015449.OF,20230120,20221231,000568.SZ,1121400.0,5000.0,5.02,0.0,2024Q1,015449.OF
015449.OF,20230120,20221231,300454.SZ,1125500.0,10000.0,5.04,0.0,2024Q1,015449.OF
015449.OF,20230120,20221231,603100.SH,1251600.0,40000.0,5.6,0.01,2024Q1,015449.OF
015449.OF,20230120,20221231,688369.SH,1445850.0,21000.0,6.47,0.03,2024Q1,015449.OF
015449.OF,20230120,20221231,600566.SH,1769300.0,65000.0,7.92,0.01,2024Q1,015449.OF
015449.OF,20230120,20221231,2273.HK,2057022.16,45600.0,9.21,,2024Q1,015449.OF
015449.OF,20230120,20221231,300049.SZ,2394140.0,98000.0,10.72,0.04,2024Q1,015449.OF
015449.OF,20230120,20221231,300298.SZ,2867050.0,85000.0,12.84,0.02,2024Q1,015449.OF
015449.OF,20221026,20220930,000568.SZ,1153300.0,5000.0,4.57,0.0,2024Q1,015449.OF
015449.OF,20221026,20220930,300454.SZ,800000.0,8000.0,3.17,0.0,2024Q1,015449.OF
015449.OF,20221026,20220930,300751.SZ,967920.0,2000.0,3.83,0.0,2024Q1,015449.OF
015449.OF,20221026,20220930,300760.SZ,897000.0,3000.0,3.55,0.0,2024Q1,015449.OF
015449.OF,20221026,20220930,300298.SZ,1222650.0,45000.0,4.84,0.01,2024Q1,015449.OF
015449.OF,20221026,20220930,002385.SZ,800000.0,100000.0,3.17,0.0,2024Q1,015449.OF
015449.OF,20221026,20220930,002049.SZ,720000.0,5000.0,2.85,0.0,2024Q1,015449.OF
015449.OF,20221026,20220930,600600.SH,1062000.0,10000.0,4.21,0.0,2024Q1,015449.OF
015449.OF,20221026,20220930,600566.SH,801850.0,35000.0,3.18,0.0,2024Q1,015449.OF
015449.OF,20221026,20220930,600298.SH,831600.0,20000.0,3.29,0.0,2024Q1,015449.OF
015449.OF,20240422,20240331,002920.SZ,49804.0,400.0,11.65,0.0,2024Q2,015449.OF
015449.OF,20240422,20240331,603596.SH,89280.0,1600.0,20.89,0.0,2024Q2,015449.OF
015449.OF,20240422,20240331,002315.SZ,288320.0,8000.0,67.46,0.0,2024Q2,015449.OF
015449.OF,20231025,20230930,300454.SZ,1399650.0,15000.0,5.78,0.01,2024Q2,015449.OF
015449.OF,20231025,20230930,002920.SZ,861840.0,6000.0,3.56,0.0,2024Q2,015449.OF
015449.OF,20231025,20230930,002847.SZ,817960.0,11000.0,3.38,0.01,2024Q2,015449.OF
015449.OF,20231025,20230930,300298.SZ,3207500.0,125000.0,13.24,0.03,2024Q2,015449.OF
015449.OF,20231025,20230930,600941.SH,774560.0,8000.0,3.2,0.0,2024Q2,015449.OF
015449.OF,20231025,20230930,300969.SZ,767700.0,10000.0,3.17,0.05,2024Q2,015449.OF
015449.OF,20231025,20230930,688369.SH,1281900.0,30000.0,5.29,0.03,2024Q2,015449.OF
015449.OF,20231025,20230930,0700.HK,927870.75,3400.0,3.83,,2024Q2,015449.OF
015449.OF,20231025,20230930,0291.HK,996087.37,26000.0,4.11,,2024Q2,015449.OF
015449.OF,20231025,20230930,600760.SH,857000.0,20000.0,3.54,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,002603.SZ,513800.0,20000.0,2.21,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,603369.SH,528000.0,10000.0,2.27,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,300502.SZ,543760.0,8000.0,2.34,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,600941.SH,559800.0,6000.0,2.41,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,300604.SZ,569880.0,12000.0,2.45,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,600566.SH,580800.0,20000.0,2.5,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,000999.SZ,606600.0,10000.0,2.61,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,002920.SZ,623240.0,4000.0,2.68,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,601360.SH,627000.0,50000.0,2.7,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,300737.SZ,641200.0,70000.0,2.76,0.01,2024Q2,015449.OF
015449.OF,20230831,20230630,001979.SZ,651500.0,50000.0,2.81,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,601728.SH,675600.0,120000.0,2.91,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,603199.SH,345500.0,10000.0,1.49,0.01,2024Q2,015449.OF
015449.OF,20230831,20230630,300212.SZ,398760.0,12000.0,1.72,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,603737.SH,457940.0,7000.0,1.97,0.0,2024Q2,015449.OF
015449.OF,20230831,20230630,000888.SZ,458400.0,40000.0,1.97,0.01,2024Q2,015449.OF
015449.OF,20230831,20230630,002230.SZ,475720.0,7000.0,2.05,0.0,2024Q2,015449.OF
015449.OF,20230721,20230630,300454.SZ,1698750.0,15000.0,7.32,0.01,2024Q2,015449.OF
015449.OF,20230721,20230630,002847.SZ,935550.0,11000.0,4.03,0.01,2024Q2,015449.OF
015449.OF,20230721,20230630,300298.SZ,3380000.0,125000.0,14.56,0.03,2024Q2,015449.OF
015449.OF,20230721,20230630,300170.SZ,692400.0,60000.0,2.98,0.01,2024Q2,015449.OF
015449.OF,20230721,20230630,601390.SH,758000.0,100000.0,3.26,0.0,2024Q2,015449.OF
015449.OF,20230721,20230630,688369.SH,1935500.0,35000.0,8.34,0.03,2024Q2,015449.OF
015449.OF,20230721,20230630,2273.HK,1374672.18,30000.0,5.92,,2024Q2,015449.OF
015449.OF,20230721,20230630,0700.HK,1039477.13,3400.0,4.48,,2024Q2,015449.OF
015449.OF,20230721,20230630,0291.HK,1236928.37,26000.0,5.33,,2024Q2,015449.OF
015449.OF,20230721,20230630,000063.SZ,910800.0,20000.0,3.92,0.0,2024Q2,015449.OF
015449.OF,20230421,20230331,000858.SZ,985000.0,5000.0,3.84,0.0,2024Q2,015449.OF
015449.OF,20230421,20230331,0700.HK,1148292.81,3400.0,4.48,,2024Q2,015449.OF
015449.OF,20230421,20230331,601360.SH,1221500.0,70000.0,4.77,0.0,2024Q2,015449.OF
015449.OF,20230421,20230331,600988.SH,1270500.0,70000.0,4.96,0.0,2024Q2,015449.OF
015449.OF,20230421,20230331,600566.SH,1424000.0,50000.0,5.56,0.01,2024Q2,015449.OF
015449.OF,20230421,20230331,0291.HK,1433921.58,26000.0,5.6,,2024Q2,015449.OF
015449.OF,20230421,20230331,300454.SZ,1775520.0,12000.0,6.93,0.0,2024Q2,015449.OF
015449.OF,20230421,20230331,688369.SH,1932800.0,20000.0,7.54,0.03,2024Q2,015449.OF
015449.OF,20230421,20230331,2273.HK,2617747.28,52600.0,10.22,,2024Q2,015449.OF
015449.OF,20230421,20230331,300298.SZ,3861600.0,120000.0,15.07,0.03,2024Q2,015449.OF
015449.OF,20230330,20221231,600325.SH,362400.0,40000.0,1.62,0.0,2024Q2,015449.OF
015449.OF,20230330,20221231,300775.SZ,380000.0,10000.0,1.7,0.0,2024Q2,015449.OF
015449.OF,20230330,20221231,603678.SH,409400.0,10000.0,1.83,0.0,2024Q2,015449.OF
015449.OF,20230330,20221231,001979.SZ,505200.0,40000.0,2.26,0.0,2024Q2,015449.OF
015449.OF,20230330,20221231,000799.SZ,551760.0,4000.0,2.47,0.0,2024Q2,015449.OF
015449.OF,20230330,20221231,603477.SH,609750.0,25000.0,2.73,0.01,2024Q2,015449.OF
015449.OF,20230330,20221231,3690.HK,639822.5,4100.0,2.86,,2024Q2,015449.OF
015449.OF,20230330,20221231,002049.SZ,659100.0,5000.0,2.95,0.0,2024Q2,015449.OF
015449.OF,20230330,20221231,688687.SH,682500.0,30000.0,3.06,0.03,2024Q2,015449.OF
015449.OF,20230330,20221231,300274.SZ,782600.0,7000.0,3.5,0.0,2024Q2,015449.OF
015449.OF,20230330,20221231,300751.SZ,823680.0,2000.0,3.69,0.0,2024Q2,015449.OF
015449.OF,20230120,20221231,601318.SH,940000.0,20000.0,4.21,0.0,2024Q2,015449.OF
015449.OF,20230120,20221231,0700.HK,954726.98,3200.0,4.27,,2024Q2,015449.OF
015449.OF,20230120,20221231,000568.SZ,1121400.0,5000.0,5.02,0.0,2024Q2,015449.OF
015449.OF,20230120,20221231,300454.SZ,1125500.0,10000.0,5.04,0.0,2024Q2,015449.OF
015449.OF,20230120,20221231,603100.SH,1251600.0,40000.0,5.6,0.01,2024Q2,015449.OF
015449.OF,20230120,20221231,688369.SH,1445850.0,21000.0,6.47,0.03,2024Q2,015449.OF
015449.OF,20230120,20221231,600566.SH,1769300.0,65000.0,7.92,0.01,2024Q2,015449.OF
015449.OF,20230120,20221231,2273.HK,2057022.16,45600.0,9.21,,2024Q2,015449.OF
015449.OF,20230120,20221231,300049.SZ,2394140.0,98000.0,10.72,0.04,2024Q2,015449.OF
015449.OF,20230120,20221231,300298.SZ,2867050.0,85000.0,12.84,0.02,2024Q2,015449.OF
015449.OF,20221026,20220930,000568.SZ,1153300.0,5000.0,4.57,0.0,2024Q2,015449.OF
015449.OF,20221026,20220930,300454.SZ,800000.0,8000.0,3.17,0.0,2024Q2,015449.OF
015449.OF,20221026,20220930,300751.SZ,967920.0,2000.0,3.83,0.0,2024Q2,015449.OF
015449.OF,20221026,20220930,300760.SZ,897000.0,3000.0,3.55,0.0,2024Q2,015449.OF
015449.OF,20221026,20220930,300298.SZ,1222650.0,45000.0,4.84,0.01,2024Q2,015449.OF
015449.OF,20221026,20220930,002385.SZ,800000.0,100000.0,3.17,0.0,2024Q2,015449.OF
015449.OF,20221026,20220930,002049.SZ,720000.0,5000.0,2.85,0.0,2024Q2,015449.OF
015449.OF,20221026,20220930,600600.SH,1062000.0,10000.0,4.21,0.0,2024Q2,015449.OF
015449.OF,20221026,20220930,600566.SH,801850.0,35000.0,3.18,0.0,2024Q2,015449.OF
015449.OF,20221026,20220930,600298.SH,831600.0,20000.0,3.29,0.0,2024Q2,015449.OF
015449.OF,20240719,20240630,605183.SH,123680.0,8000.0,10.58,0.0,2024Q3,015449.OF
015449.OF,20240719,20240630,601899.SH,175700.0,10000.0,15.03,0.0,2024Q3,015449.OF
015449.OF,20240719,20240630,601601.SH,83580.0,3000.0,7.15,0.0,2024Q3,015449.OF
015449.OF,20240719,20240630,601009.SH,207800.0,20000.0,17.77,0.0,2024Q3,015449.OF
015449.OF,20240719,20240630,002050.SZ,152640.0,8000.0,13.06,0.0,2024Q3,015449.OF
015449.OF,20240719,20240630,600941.SH,268750.0,2500.0,22.99,0.0,2024Q3,015449.OF
015449.OF,20240719,20240630,688169.SH,157040.0,400.0,13.43,0.0,2024Q3,015449.OF
015449.OF,20240422,20240331,002920.SZ,49804.0,400.0,11.65,0.0,2024Q3,015449.OF
015449.OF,20240422,20240331,603596.SH,89280.0,1600.0,20.89,0.0,2024Q3,015449.OF
015449.OF,20240422,20240331,002315.SZ,288320.0,8000.0,67.46,0.0,2024Q3,015449.OF
015449.OF,20231025,20230930,300454.SZ,1399650.0,15000.0,5.78,0.01,2024Q3,015449.OF
015449.OF,20231025,20230930,002920.SZ,861840.0,6000.0,3.56,0.0,2024Q3,015449.OF
015449.OF,20231025,20230930,002847.SZ,817960.0,11000.0,3.38,0.01,2024Q3,015449.OF
015449.OF,20231025,20230930,300298.SZ,3207500.0,125000.0,13.24,0.03,2024Q3,015449.OF
015449.OF,20231025,20230930,600941.SH,774560.0,8000.0,3.2,0.0,2024Q3,015449.OF
015449.OF,20231025,20230930,300969.SZ,767700.0,10000.0,3.17,0.05,2024Q3,015449.OF
015449.OF,20231025,20230930,688369.SH,1281900.0,30000.0,5.29,0.03,2024Q3,015449.OF
015449.OF,20231025,20230930,0700.HK,927870.75,3400.0,3.83,,2024Q3,015449.OF
015449.OF,20231025,20230930,0291.HK,996087.37,26000.0,4.11,,2024Q3,015449.OF
015449.OF,20231025,20230930,600760.SH,857000.0,20000.0,3.54,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,002603.SZ,513800.0,20000.0,2.21,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,603369.SH,528000.0,10000.0,2.27,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,300502.SZ,543760.0,8000.0,2.34,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,600941.SH,559800.0,6000.0,2.41,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,300604.SZ,569880.0,12000.0,2.45,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,600566.SH,580800.0,20000.0,2.5,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,000999.SZ,606600.0,10000.0,2.61,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,002920.SZ,623240.0,4000.0,2.68,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,601360.SH,627000.0,50000.0,2.7,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,300737.SZ,641200.0,70000.0,2.76,0.01,2024Q3,015449.OF
015449.OF,20230831,20230630,001979.SZ,651500.0,50000.0,2.81,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,601728.SH,675600.0,120000.0,2.91,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,603199.SH,345500.0,10000.0,1.49,0.01,2024Q3,015449.OF
015449.OF,20230831,20230630,300212.SZ,398760.0,12000.0,1.72,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,603737.SH,457940.0,7000.0,1.97,0.0,2024Q3,015449.OF
015449.OF,20230831,20230630,000888.SZ,458400.0,40000.0,1.97,0.01,2024Q3,015449.OF
