ts_code,quarter,reason
026201.OF,2024Q1,无数据
026201.OF,2024Q2,无数据
026201.OF,2024Q3,无数据
026201.OF,2024Q4,无数据
025486.OF,2024Q1,无数据
025486.OF,2024Q2,无数据
025486.OF,2024Q3,无数据
025486.OF,2024Q4,无数据
025487.OF,2024Q1,无数据
025487.OF,2024Q2,无数据
025487.OF,2024Q3,无数据
025487.OF,2024Q4,无数据
025327.OF,2024Q1,无数据
025327.OF,2024Q2,无数据
025327.OF,2024Q3,无数据
025327.OF,2024Q4,无数据
025326.OF,2024Q1,无数据
025326.OF,2024Q2,无数据
025326.OF,2024Q3,无数据
025326.OF,2024Q4,无数据
025542.OF,2024Q1,无数据
025542.OF,2024Q2,无数据
025542.OF,2024Q3,无数据
025542.OF,2024Q4,无数据
025448.OF,2024Q1,无数据
025448.OF,2024Q2,无数据
025448.OF,2024Q3,无数据
025448.OF,2024Q4,无数据
025447.OF,2024Q1,无数据
025447.OF,2024Q2,无数据
025447.OF,2024Q3,无数据
025447.OF,2024Q4,无数据
025476.OF,2024Q1,无数据
025476.OF,2024Q2,无数据
025476.OF,2024Q3,无数据
025476.OF,2024Q4,无数据
023386.OF,2024Q1,无数据
023386.OF,2024Q2,无数据
023386.OF,2024Q3,无数据
023386.OF,2024Q4,无数据
023387.OF,2024Q1,无数据
023387.OF,2024Q2,无数据
023387.OF,2024Q3,无数据
023387.OF,2024Q4,无数据
018862.OF,2024Q1,无数据
018862.OF,2024Q2,无数据
018862.OF,2024Q3,无数据
018862.OF,2024Q4,无数据
018863.OF,2024Q1,无数据
018863.OF,2024Q2,无数据
018863.OF,2024Q3,无数据
018863.OF,2024Q4,无数据
025217.OF,2024Q1,无数据
025217.OF,2024Q2,无数据
025217.OF,2024Q3,无数据
025217.OF,2024Q4,无数据
025216.OF,2024Q1,无数据
025216.OF,2024Q2,无数据
025216.OF,2024Q3,无数据
025216.OF,2024Q4,无数据
024640.OF,2024Q1,无数据
024640.OF,2024Q2,无数据
024640.OF,2024Q3,无数据
024640.OF,2024Q4,无数据
024641.OF,2024Q1,无数据
024641.OF,2024Q2,无数据
024641.OF,2024Q3,无数据
024641.OF,2024Q4,无数据
024928.OF,2024Q1,无数据
024928.OF,2024Q2,无数据
024928.OF,2024Q3,无数据
024928.OF,2024Q4,无数据
024929.OF,2024Q1,无数据
024929.OF,2024Q2,无数据
024929.OF,2024Q3,无数据
024929.OF,2024Q4,无数据
024930.OF,2024Q1,无数据
024930.OF,2024Q2,无数据
024930.OF,2024Q3,无数据
024930.OF,2024Q4,无数据
024931.OF,2024Q1,无数据
024931.OF,2024Q2,无数据
024931.OF,2024Q3,无数据
024931.OF,2024Q4,无数据
024932.OF,2024Q1,无数据
024932.OF,2024Q2,无数据
024932.OF,2024Q3,无数据
024932.OF,2024Q4,无数据
024500.OF,2024Q1,无数据
024500.OF,2024Q2,无数据
024500.OF,2024Q3,无数据
024500.OF,2024Q4,无数据
024499.OF,2024Q1,无数据
024499.OF,2024Q2,无数据
024499.OF,2024Q3,无数据
024499.OF,2024Q4,无数据
024168.OF,2024Q1,无数据
024168.OF,2024Q2,无数据
024168.OF,2024Q3,无数据
024168.OF,2024Q4,无数据
009825.OF,2024Q1,无数据
009825.OF,2024Q2,无数据
