ts_code,name,category,analysis_type,quality_score,return_1y,sharpe,volatility,max_drawdown,quarters,quarter_stats,total_stocks,persistent_stocks,stability_ratio,investment_style,note
026201.OF,诺安利鑫D,混合型-平衡,标准档案,85.5,16.16,0.83,17.02,6.16,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
025486.OF,中邮新锐量化选股A,混合型-偏股,标准档案,82.8,15.04,0.69,18.94,6.36,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
025487.OF,中邮新锐量化选股C,混合型-偏股,标准档案,82.6,14.9,0.68,18.94,6.37,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
025327.OF,银华嘉瑞平衡C,混合型-偏股,标准档案,86.9,12.91,0.92,11.86,2.99,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
025326.OF,银华嘉瑞平衡A,混合型-偏股,标准档案,87.4,13.09,0.94,11.86,2.98,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
025542.OF,华夏行业景气C,混合型-偏股,标准档案,85.6,16.61,0.88,16.63,9.53,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
025448.OF,万家元晟量化选股C,混合型-偏股,标准档案,83.6,14.76,0.83,15.45,9.14,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
025447.OF,万家元晟量化选股A,混合型-偏股,标准档案,83.7,14.88,0.83,15.45,9.1,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
025476.OF,银华瑞和C,混合型-平衡,标准档案,96.6,34.97,1.66,19.86,7.85,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
023386.OF,国泰聚智量化选股A,混合型-偏股,标准档案,82.5,13.05,0.82,13.45,8.61,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
023387.OF,国泰聚智量化选股C,混合型-偏股,标准档案,82.5,13.01,0.82,13.44,8.63,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
018862.OF,大成创优鑫选A,混合型-偏股,标准档案,82.5,17.29,0.78,19.51,10.69,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
018863.OF,大成创优鑫选C,混合型-偏股,标准档案,82.4,17.14,0.78,19.5,10.7,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
025217.OF,永赢资源慧选C,混合型-偏股,标准档案,85.9,21.87,0.88,22.58,10.08,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
025216.OF,永赢资源慧选A,混合型-偏股,标准档案,86.2,22.04,0.89,22.58,10.07,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
024640.OF,中欧化工产业A,混合型-偏股,标准档案,83.5,18.31,0.77,21.32,9.87,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
024641.OF,中欧化工产业C,混合型-偏股,标准档案,83.2,18.18,0.76,21.3,9.89,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
024928.OF,华夏卓越成长A,混合型-偏股,标准档案,81.5,15.14,0.73,17.96,9.68,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
024929.OF,华夏卓越成长B,混合型-偏股,标准档案,81.5,15.14,0.73,17.97,9.68,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
024930.OF,华夏卓越成长C,混合型-偏股,标准档案,81.1,15.01,0.72,17.96,9.72,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
024931.OF,华夏卓越成长D,混合型-偏股,标准档案,81.2,15.05,0.72,18.13,9.7,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
024932.OF,华夏卓越成长E,混合型-偏股,标准档案,80.8,14.92,0.71,18.13,9.74,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
024500.OF,兴华景和C,混合型-偏股,标准档案,94.0,19.09,1.45,11.75,7.93,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
024499.OF,兴华景和A,混合型-偏股,标准档案,94.1,19.19,1.46,11.75,7.91,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
024168.OF,信澳蓝筹精选C,主动股票型,标准档案,89.2,16.94,1.03,14.57,7.7,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
009825.OF,融通通乾研究精选C,混合型-平衡,标准档案,84.2,17.34,1.19,12.92,14.05,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
013033.OF,泰信智选量化选股A,混合型-偏股,标准档案,87.1,14.14,1.04,11.71,8.95,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
013034.OF,泰信智选量化选股C,混合型-偏股,标准档案,86.9,14.05,1.03,11.71,9.0,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022416.OF,汇添富弘盛回报A,混合型-偏股,标准档案,90.9,31.12,1.42,20.48,14.02,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022573.OF,汇添富弘达回报C,混合型-偏股,标准档案,96.0,23.1,1.63,12.92,8.16,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022417.OF,汇添富弘盛回报C,混合型-偏股,标准档案,90.9,31.04,1.42,20.49,14.03,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022572.OF,汇添富弘达回报A,混合型-偏股,标准档案,96.1,23.19,1.64,12.92,8.15,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
023915.OF,永赢价值发现慧选A,混合型-偏股,标准档案,96.2,26.28,1.64,14.78,10.03,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
023925.OF,永赢价值发现慧选C,混合型-偏股,标准档案,96.1,26.15,1.63,14.78,10.07,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022237.OF,融通央企精选A,混合型-偏股,标准档案,86.5,15.04,0.99,13.2,9.85,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
023675.OF,德邦新兴产业C,混合型-偏股,标准档案,81.7,39.79,1.66,22.76,25.21,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
022238.OF,融通央企精选C,混合型-偏股,标准档案,86.1,14.94,0.98,13.19,9.9,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
023674.OF,德邦新兴产业A,混合型-偏股,标准档案,81.8,39.86,1.66,22.77,25.15,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
023449.OF,上银资源精选C,混合型-偏股,标准档案,88.6,23.63,1.01,21.44,10.75,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
023448.OF,上银资源精选A,混合型-偏股,标准档案,88.6,23.74,1.01,21.45,10.75,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
021095.OF,东方低碳经济C,混合型-偏股,标准档案,81.3,20.31,0.87,21.07,13.57,[],{},,,,待补充,缺少季度持仓数据，建议后续补录
