ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
026413.OF,中邮睿信增强C,中邮基金,中国农业银行,债券型,20260114,,,,,,0.8,0.2,,1.0,,,中债综合财富指数*80%+沪深300指数收益率*15%+金融机构人民币活期存款基准利率*5%,L,债券型,契约型开放式,,20260114,20260115,O
159155.OF,大成中证电池主题ETF,大成基金,兴业银行,股票型,20260113,,,20260105,,4.4151,0.5,0.1,,1.0,0.1,,中证电池主题指数收益率,L,被动指数型,契约型开放式,,,,O
026226.OF,东海增裕C,东海基金,交通银行,债券型,20260113,,,20260106,,0.0009,0.4,0.1,,1.0,0.0001,,中债综合指数(全价)收益率*88%+沪深300指数收益率*10%+中证港股通综合指数(人民币)收益率*2%,L,债券型,契约型开放式,,,,O
026220.OF,东海增裕A,东海基金,交通银行,债券型,20260113,,,20260106,,0.102,0.4,0.1,,1.0,0.0001,,中债综合指数(全价)收益率*88%+沪深300指数收益率*10%+中证港股通综合指数(人民币)收益率*2%,L,债券型,契约型开放式,,,,O
026263.OF,平安港股通均衡配置A,平安基金,招商银行,混合型,20260113,,,20251216,,3.3587,1.2,0.2,,1.0,0.0001,,恒生指数收益率(经汇率调整)*75%+中债综合全价指数收益率*20%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,,,O
026098.OF,前海开源安和C,前海开源基金,平安银行,债券型,20260113,,,20251222,,9.0879,0.6,0.1,,1.0,0.001,,中债-综合全价(总值)指数收益率*88%+沪深300指数收益率*10%+恒生指数收益率*2%,L,债券型,契约型开放式,,,,O
026097.OF,前海开源安和A,前海开源基金,平安银行,债券型,20260113,,,20251222,,1.409,0.6,0.1,,1.0,0.001,,中债-综合全价(总值)指数收益率*88%+沪深300指数收益率*10%+恒生指数收益率*2%,L,债券型,契约型开放式,,,,O
026175.OF,路博迈中证A股指数增强A,路博迈基金,中国邮政储蓄银行,股票型,20260113,,,20251222,,12.5167,0.8,0.15,,1.0,0.001,,中证A股指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
026176.OF,路博迈中证A股指数增强C,路博迈基金,中国邮政储蓄银行,股票型,20260113,,,20251222,,0.1052,0.8,0.15,,1.0,0.001,,中证A股指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,,,O
026199.OF,大摩港股通多元成长A,摩根士丹利基金,招商银行,混合型,20260113,,,20251218,,2.7761,1.2,0.2,,1.0,0.001,,中证港股通综合指数(人民币)收益率*80%+中债综合全价(总值)指数收益率*15%+人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,,,O
026264.OF,平安港股通均衡配置C,平安基金,招商银行,混合型,20260113,,,20251216,,0.0041,1.2,0.2,,1.0,0.0001,,恒生指数收益率(经汇率调整)*75%+中债综合全价指数收益率*20%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,,,O
025202.OF,中欧港股通大盘精选A,中欧基金,交通银行,混合型,20260113,,,20251218,,0.1665,1.2,0.2,,1.0,0.0001,,国证港股通50指数收益率*80%+银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,,,O
026200.OF,大摩港股通多元成长C,摩根士丹利基金,招商银行,混合型,20260113,,,20251218,,0.2788,1.2,0.2,,1.0,0.001,,中证港股通综合指数(人民币)收益率*80%+中债综合全价(总值)指数收益率*15%+人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,,,O
025203.OF,中欧港股通大盘精选C,中欧基金,交通银行,混合型,20260113,,,20251218,,0.7349,1.2,0.2,,1.0,0.0001,,国证港股通50指数收益率*80%+银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,,,O
026478.OF,招商中证有色金属矿业主题ETF联接C,招商基金,国泰海通,股票型,20260112,,,20260108,,0.0559,0.5,0.1,,1.0,0.0001,,中证有色金属矿业主题指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20260115,20260115,O
026382.OF,中航洞见领航A,中航基金,宁波银行,混合型,20260112,,,20260105,,0.0409,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*70%+中债综合指数收益率*25%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,,,O
026383.OF,中航洞见领航C,中航基金,宁波银行,混合型,20260112,,,20260105,,2.1423,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*70%+中债综合指数收益率*25%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,,,O
