code,name,reason
026263.OF,平安港股通均衡配置A,数据不足
026199.OF,大摩港股通多元成长A,数据不足
026264.OF,平安港股通均衡配置C,数据不足
025202.OF,中欧港股通大盘精选A,数据不足
026200.OF,大摩港股通多元成长C,数据不足
025203.OF,中欧港股通大盘精选C,数据不足
026496.OF,东方红消费研选C,数据不足
026495.OF,东方红消费研选A,数据不足
026512.OF,睿远研选均衡三年持有,数据不足
025548.OF,鑫元鑫选多元稳进配置3个月持有A,数据不足
025549.OF,鑫元鑫选多元稳进配置3个月持有C,数据不足
026116.OF,广发悦盈稳健三个月持有C,数据不足
026115.OF,广发悦盈稳健三个月持有A,数据不足
025025.OF,万家启泰稳健三个月持有A,数据不足
025052.OF,万家启泰稳健三个月持有E,数据不足
025026.OF,万家启泰稳健三个月持有C,数据不足
026070.OF,安信港股通臻选A,数据不足
026071.OF,安信港股通臻选C,数据不足
024826.OF,东兴低碳经济A,数据不足
024827.OF,东兴低碳经济C,数据不足
026251.OF,易方达消费机遇A,数据不足
026252.OF,易方达消费机遇C,数据不足
025816.OF,中加智选添元三个月持有A,数据不足
025817.OF,中加智选添元三个月持有C,数据不足
025921.OF,易方达如意盈享6个月持有A,数据不足
025922.OF,易方达如意盈享6个月持有C,数据不足
026018.OF,平安发现价值A,数据不足
026019.OF,平安发现价值C,数据不足
026253.OF,国泰产业升级A,数据不足
026254.OF,国泰产业升级C,数据不足
025998.OF,永赢汇欣C,数据不足
025997.OF,永赢汇欣A,数据不足
025797.OF,国泰多资产稳健甄选3个月持有C,数据不足
025796.OF,国泰多资产稳健甄选3个月持有A,数据不足
025752.OF,招商均衡配置A,数据不足
025753.OF,招商均衡配置C,数据不足
025788.OF,广发质量优选A,数据不足
025789.OF,广发质量优选C,数据不足
023186.OF,国联安红利慧选A,数据不足
025950.OF,鹏华易选稳健3个月持有A,数据不足
025951.OF,鹏华易选稳健3个月持有C,数据不足
022672.OF,平安产业竞争力C,数据不足
022673.OF,平安产业竞争力A,数据不足
023187.OF,国联安红利慧选C,数据不足
026038.OF,大成优享6个月持有C,数据不足
026037.OF,大成优享6个月持有A,数据不足
026003.OF,鹏安核心优选A,数据不足
025255.OF,鹏扬港股通精选A,数据不足
025439.OF,永赢启航慧选A,数据不足
025995.OF,大成荣享A,数据不足
025440.OF,永赢启航慧选C,数据不足
025996.OF,大成荣享C,数据不足
025256.OF,鹏扬港股通精选C,数据不足
025994.OF,银华盛安六个月持有C,数据不足
025993.OF,银华盛安六个月持有A,数据不足
025659.OF,国金科创创业量化选股C,数据不足
025658.OF,国金科创创业量化选股A,数据不足
026004.OF,鹏安核心优选C,数据不足
026157.OF,鑫元鑫选盈泰进取配置3个月持有C,数据不足
025964.OF,广发创新成长A,数据不足
025965.OF,广发创新成长C,数据不足
025927.OF,中信保诚医药精选C,数据不足
025926.OF,中信保诚医药精选A,数据不足
025184.OF,中银品质新兴A,数据不足
025083.OF,摩根慧启成长C,数据不足
025082.OF,摩根慧启成长A,数据不足
025185.OF,中银品质新兴C,数据不足
025903.OF,天弘盈悦稳健配置6个月持有C,数据不足
025902.OF,天弘盈悦稳健配置6个月持有A,数据不足
025909.OF,东方红欣恒稳健3个月持有A,数据不足
025910.OF,东方红欣恒稳健3个月持有C,数据不足
025668.OF,申万菱信宁通六个月持有,数据不足
025823.OF,易方达如意盈安6个月持有C,数据不足
025822.OF,易方达如意盈安6个月持有A,数据不足
024964.OF,南方多元价值一年持有A,数据不足
024965.OF,南方多元价值一年持有C,数据不足
024028.OF,招商均衡优选C,数据不足
009563.OF,工银全球配置港币,数据不足
