ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,veto_reason
024362.OF,中欧红利慧选C,混合型,混合型-偏股,1.38,2.66,15.06,21.74,8.87,0.6,102,533.0,89.80452280567268,339.0,93.53233830845772,78.6,
024361.OF,中欧红利慧选A,混合型,混合型-偏股,1.43,2.74,15.21,21.74,8.87,0.61,102,515.0,90.14948256036796,327.0,93.76195943360123,79.0,
025442.OF,景顺长城产业优选,混合型,混合型-偏股,1.87,6.75,13.14,20.77,6.36,0.54,76,164.0,96.87619777692602,498.0,90.48985840030616,79.0,
024808.OF,华夏成长动力A,混合型,混合型-偏股,1.37,1.43,13.76,18.38,15.18,0.64,271,842.0,83.88271368340361,438.0,91.63796402602374,72.2,
024809.OF,华夏成长动力C,混合型,混合型-偏股,1.33,1.36,13.63,18.37,15.24,0.63,271,867.0,83.40360291299349,454.0,91.33180252583236,71.8,
023101.OF,国寿安保智慧生活C,股票型,主动股票型,4.1,3.39,23.22,19.81,20.55,1.07,454,70.0,88.06228373702423,16.0,97.40484429065744,78.0,
021666.OF,中银周期优选C,混合型,混合型-偏股,0.42,3.46,25.69,22.16,19.66,1.07,455,416.0,92.04676121119203,59.0,98.89016456180634,78.7,
021665.OF,中银周期优选A,混合型,混合型-偏股,0.46,3.53,25.83,22.16,19.64,1.08,455,407.0,92.21924108853968,58.0,98.90929965556832,78.9,
021662.OF,国富亚洲机会C,股票型,主动股票型,0.41,4.17,19.68,18.68,22.96,0.95,444,53.0,91.00346020761243,31.0,94.80968858131487,72.8,
021663.OF,汇百川远航A,混合型,混合型-偏股,3.64,2.1,16.19,14.11,18.88,1.01,455,643.0,87.69643541586815,266.0,94.92920015308076,77.0,
021664.OF,汇百川远航C,混合型,混合型-偏股,3.61,2.05,16.08,14.11,18.9,1.0,455,660.0,87.37064009198927,274.0,94.77611940298507,76.8,
021842.OF,国富全球科技互联人民币C,混合型,混合型-偏股,-0.49,1.45,14.25,18.88,15.02,0.65,444,829.0,84.13185128401686,406.0,92.25028702640644,72.8,
021843.OF,国富全球科技互联美元现汇C,混合型,混合型-偏股,0.18,2.95,16.78,18.89,15.3,0.78,444,483.0,90.76274434649292,245.0,95.3310371220819,76.4,
021512.OF,景顺长城支柱产业C,混合型,混合型-偏股,0.76,4.79,14.8,16.78,11.7,0.76,455,286.0,94.53813721732465,368.0,92.97742058936088,79.2,
019190.OF,华商品质价值C,混合型,混合型-偏股,0.21,8.13,13.55,16.78,15.19,0.69,454,118.0,97.75776159448064,464.0,91.14045158821278,73.0,
019189.OF,华商品质价值A,混合型,混合型-偏股,0.26,8.22,13.71,16.79,15.17,0.7,454,112.0,97.87274817937907,444.0,91.52315346345196,73.4,
020723.OF,国寿安保数字经济C,股票型,主动股票型,6.97,23.36,28.35,23.76,22.34,1.11,455,2.0,99.82698961937716,4.0,99.48096885813148,76.2,
019690.OF,华商产业机遇A,混合型,混合型-偏股,-0.31,3.69,12.9,16.59,15.31,0.66,454,380.0,92.7366807205826,521.0,90.04975124378109,71.9,
019691.OF,华商产业机遇C,混合型,混合型-偏股,0.02,4.01,13.19,16.61,15.34,0.67,454,346.0,93.38827136834036,492.0,90.60466896287792,72.3,
018550.OF,金鹰研究驱动C,混合型,混合型-偏股,-0.29,2.41,13.01,14.51,16.58,0.76,455,587.0,88.76964354158682,510.0,90.26023727516264,72.7,
018549.OF,金鹰研究驱动A,混合型,混合型-偏股,-0.25,2.47,13.14,14.51,16.49,0.77,455,576.0,88.98045228056726,497.0,90.50899349406812,73.1,
020487.OF,华富成长企业精选C,股票型,主动股票型,4.84,4.49,18.31,18.94,17.09,0.86,455,43.0,92.73356401384083,41.0,93.07958477508652,76.2,
018698.OF,国投瑞银盛煊A,混合型,混合型-偏股,2.65,5.93,15.52,14.24,15.78,0.95,455,205.0,96.09045611345344,312.0,94.04898584003062,78.7,
018699.OF,国投瑞银盛煊C,混合型,混合型-偏股,2.61,5.86,15.38,14.24,15.8,0.94,455,208.0,96.03296282100422,320.0,93.89590508993494,78.4,
020383.OF,华富成长趋势C,混合型,混合型-偏股,3.08,7.15,23.66,21.58,18.7,1.0,455,152.0,97.10617094672288,85.0,98.3926521239954,78.8,
018973.OF,华商科创板量化选股A,混合型,混合型-偏股,0.69,12.19,14.79,20.79,16.48,0.62,435,44.0,99.1759294748946,370.0,92.93915040183695,70.6,
018974.OF,华商科创板量化选股C,混合型,混合型-偏股,0.67,12.14,14.73,20.79,16.51,0.61,435,46.0,99.1376006132618,378.0,92.7860696517413,70.3,
019032.OF,易方达环保主题C,灵活配置型,混合型-平衡,3.09,9.87,17.14,18.72,14.14,0.81,455,11.0,97.88583509513742,29.0,94.08033826638476,78.3,
018229.OF,易方达全球优质企业A,混合型,混合型-偏股,1.96,5.03,13.36,14.83,11.35,0.77,444,256.0,95.1130701418168,477.0,90.89169536930731,78.9,
018230.OF,易方达全球优质企业C,混合型,混合型-偏股,1.93,4.97,13.25,14.82,11.38,0.76,444,261.0,95.01724798773476,486.0,90.71947952544969,78.6,
018504.OF,景顺长城周期优选A,混合型,混合型-偏股,1.03,5.27,17.72,19.08,13.8,0.82,455,245.0,95.32387888079724,217.0,95.86681974741676,79.4,
018505.OF,景顺长城周期优选C,混合型,混合型-偏股,1.02,5.24,17.64,19.08,13.83,0.82,455,246.0,95.30471444998084,219.0,95.82854955989283,79.3,
016561.OF,永赢启源C,混合型,混合型-偏股,1.44,1.87,15.97,19.35,18.83,0.72,455,709.0,86.43158298198543,284.0,94.58476846536549,71.2,
016560.OF,永赢启源A,混合型,混合型-偏股,1.46,1.92,16.09,19.36,18.81,0.73,455,698.0,86.64239172096589,273.0,94.79525449674703,71.5,
018715.OF,平安新鑫优选C,混合型,混合型-偏股,7.92,9.97,13.21,15.08,13.22,0.74,455,71.0,98.65848984285168,491.0,90.62380405663988,76.0,
018714.OF,平安新鑫优选A,混合型,混合型-偏股,7.97,10.08,13.38,15.09,13.18,0.75,455,70.0,98.67765427366808,476.0,90.91083046306927,76.3,
018817.OF,景顺长城中小创C,股票型,主动股票型,2.76,4.6,15.59,18.37,18.76,0.74,455,39.0,93.42560553633218,57.0,90.3114186851211,70.9,
017132.OF,中银新能源产业A,股票型,主动股票型,9.23,9.2,19.12,21.44,19.05,0.8,455,8.0,98.78892733564014,34.0,94.29065743944636,72.7,
017133.OF,中银新能源产业C,股票型,主动股票型,9.2,9.14,19.02,21.44,19.07,0.79,455,9.0,98.6159169550173,35.0,94.11764705882352,72.4,
018325.OF,国泰海通创新成长A,混合型,混合型-偏股,1.3,1.62,20.03,23.74,16.03,0.76,455,769.0,85.28171713300114,141.0,97.32108687332568,74.7,
018351.OF,国泰海通周期精选A,混合型,混合型-偏股,2.44,3.14,12.96,14.89,11.44,0.74,455,463.0,91.146032962821,515.0,90.16456180635284,77.9,
018326.OF,国泰海通创新成长C,混合型,混合型-偏股,1.27,1.57,19.93,23.74,16.06,0.76,455,786.0,84.95592180912227,144.0,97.2636815920398,74.6,
017987.OF,易方达国企主题A,混合型,混合型-偏股,4.91,4.93,14.19,16.45,11.11,0.74,455,266.0,94.92142583365272,409.0,92.19288174512054,79.2,
017988.OF,易方达国企主题C,混合型,混合型-偏股,4.87,4.86,14.07,16.45,11.14,0.73,455,276.0,94.7297815254887,417.0,92.03980099502488,78.9,
